time,task_id,reward,selected_agent,selected_vm,selected_prb_ratio,done,mask_0,mask_1,mask_2,mask_3,mask_4,a0_score,a0_prb,a1_score,a1_prb,a2_score,a2_prb,a3_score,a3_prb,a4_score,a4_prb,s_0_0,s_0_1,s_0_2,s_0_3,s_0_4,s_0_5,s_0_6,s_0_7,s_0_8,s_0_9,s_0_10,s_0_11,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_3_0,s_3_1,s_3_2,s_3_3,s_3_4,s_3_5,s_3_6,s_3_7,s_3_8,s_3_9,s_3_10,s_3_11,s_4_0,s_4_1,s_4_2,s_4_3,s_4_4,s_4_5,s_4_6,s_4_7,s_4_8,s_4_9,s_4_10,s_4_11,s_next_0_0,s_next_0_1,s_next_0_2,s_next_0_3,s_next_0_4,s_next_0_5,s_next_0_6,s_next_0_7,s_next_0_8,s_next_0_9,s_next_0_10,s_next_0_11,s_next_1_0,s_next_1_1,s_next_1_2,s_next_1_3,s_next_1_4,s_next_1_5,s_next_1_6,s_next_1_7,s_next_1_8,s_next_1_9,s_next_1_10,s_next_1_11,s_next_2_0,s_next_2_1,s_next_2_2,s_next_2_3,s_next_2_4,s_next_2_5,s_next_2_6,s_next_2_7,s_next_2_8,s_next_2_9,s_next_2_10,s_next_2_11,s_next_3_0,s_next_3_1,s_next_3_2,s_next_3_3,s_next_3_4,s_next_3_5,s_next_3_6,s_next_3_7,s_next_3_8,s_next_3_9,s_next_3_10,s_next_3_11,s_next_4_0,s_next_4_1,s_next_4_2,s_next_4_3,s_next_4_4,s_next_4_5,s_next_4_6,s_next_4_7,s_next_4_8,s_next_4_9,s_next_4_10,s_next_4_11
60.0000,2100,8.266128,0,16,0.600000,0,1,1,1,1,1,10,6,7,8,4,10,10,8,0,7,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.352830,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.019769,1.000000,0.600000,0.001953,0.000000,0.480000,0.864124,0.999000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.999000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,0.480000,0.352830,0.999000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,0.999000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000488,0.000000,1.000000,0.000000,0.021087
66.0000,1900,8.348772,4,0,0.400000,0,1,1,1,1,1,5,5,2,7,3,8,2,3,6,4,1.000000,0.600000,0.001894,0.010000,0.480000,0.822814,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.719043,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.214269,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.003623,0.000000,0.480000,0.822814,0.997000,0.000906,0.000725,0.000000,1.000000,0.022735,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.997000,0.000906,0.000725,0.000000,1.000000,0.022735,1.000000,0.600000,0.000000,0.000000,0.480000,0.719043,0.997000,0.000906,0.000725,0.000000,1.000000,0.022735,1.000000,0.600000,0.000000,0.000000,0.480000,0.214269,0.997000,0.000906,0.000725,0.000000,1.000000,0.022735,1.000000,0.600000,0.000725,0.000000,1.200000,1.000000,0.997000,0.000906,0.000725,1.000000,0.000000,0.022735
66.0000,1500,8.265448,0,16,0.600000,0,1,1,1,1,1,8,6,7,5,8,0,2,6,6,10,1.000000,0.600000,0.001894,0.000000,0.480000,0.949011,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.435329,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.003571,0.000000,0.480000,0.949011,0.997000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.997000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000000,0.000000,0.480000,0.435329,0.997000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,0.997000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000714,0.000000,1.200000,1.000000,0.997000,0.000893,0.000714,1.000000,0.000000,0.023064
75.0000,2101,8.264942,3,65,0.100000,0,1,1,1,1,1,7,5,0,6,7,0,8,1,0,6,1.000000,0.600000,0.003333,0.000000,0.480000,0.864124,0.997000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.997000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.000000,0.480000,0.352830,0.997000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.010000,0.480000,0.365209,0.997000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000667,0.000000,1.200000,1.000000,0.997000,0.000833,0.000667,1.000000,0.000000,0.024712,1.000000,0.600000,0.003165,0.000000,0.480000,0.864124,0.994000,0.001187,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.994000,0.001187,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.000000,0.010000,0.480000,0.352830,0.994000,0.001187,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.001582,0.010000,0.480000,0.365209,0.994000,0.001187,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.000633,0.000000,1.200000,1.000000,0.994000,0.001187,0.000633,1.000000,0.000000,0.026030
81.0000,1501,-4.901712,2,49,0.000000,0,1,1,1,1,1,3,3,3,5,7,0,6,9,4,7,1.000000,0.600000,0.003086,0.000000,0.480000,0.949011,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.010000,0.480000,0.435329,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.010000,0.480000,0.344093,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,0.994000,0.001157,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.003086,0.000000,0.480000,0.949011,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.020000,0.480000,0.435329,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.020000,0.480000,0.344093,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,0.994000,0.001157,0.000617,1.000000,0.000000,0.026689
81.0000,1901,8.264478,3,65,0.500000,0,1,1,1,1,1,5,9,0,1,4,10,7,5,5,10,1.000000,0.600000,0.003086,0.000000,0.480000,0.822814,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.020000,0.480000,0.719043,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.010000,0.480000,0.214269,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,0.994000,0.001157,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.002941,0.000000,0.480000,0.822814,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000000,0.010000,0.480000,0.453774,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000000,0.020000,0.480000,0.719043,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.002941,0.010000,0.480000,0.214269,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000588,0.000000,1.200000,1.000000,0.992000,0.001471,0.000588,1.000000,0.000000,0.028007
85.0000,1100,8.264137,3,65,0.800000,0,1,1,1,1,1,7,10,3,4,3,1,9,8,0,8,1.000000,0.600000,0.002941,0.000000,0.480000,0.554578,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000000,0.010000,0.480000,0.323879,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000000,0.020000,0.480000,0.627850,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.002941,0.010000,0.480000,0.437649,0.992000,0.001471,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000588,0.000000,1.200000,1.000000,0.992000,0.001471,0.000588,1.000000,0.000000,0.028007,1.000000,0.600000,0.002809,0.000000,0.480000,0.552897,0.991000,0.001756,0.000562,0.000000,1.000000,0.029325,1.000000,0.600000,0.000000,0.010000,0.480000,0.330630,0.991000,0.001756,0.000562,0.000000,1.000000,0.029325,1.000000,0.600000,0.000000,0.020000,0.480000,0.621062,0.991000,0.001756,0.000562,0.000000,1.000000,0.029325,1.000000,0.600000,0.004213,0.010000,0.480000,0.435130,0.991000,0.001756,0.000562,0.000000,1.000000,0.029325,1.000000,0.600000,0.000562,0.000000,1.200000,1.000000,0.991000,0.001756,0.000562,1.000000,0.000000,0.029325
90.0000,2102,-4.902722,4,0,0.000000,0,1,1,1,1,1,0,6,6,6,9,0,2,1,10,0,1.000000,0.600000,0.002778,0.010000,0.480000,0.864124,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000000,0.010000,0.480000,0.869253,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000000,0.020000,0.480000,0.352830,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.004167,0.010000,0.480000,0.365209,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000556,0.000000,1.200000,1.000000,0.991000,0.001736,0.000556,1.000000,0.000000,0.029654,1.000000,0.600000,0.002778,0.010000,0.480000,0.864124,0.990000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000000,0.010000,0.480000,0.869253,0.990000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000000,0.020000,0.480000,0.352830,0.990000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.004167,0.010000,0.480000,0.365209,0.990000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000556,0.010000,1.200000,1.000000,0.990000,0.001736,0.000556,1.000000,0.000000,0.029654
82.0000,250,-5.071319,1,32,0.300000,0,1,1,1,0,1,5,1,6,3,4,7,0,8,2,3,0.666667,0.400000,0.003049,0.000000,0.480000,0.214175,0.993000,0.001524,0.000610,0.000000,1.000000,0.027018,0.666667,0.400000,0.000000,0.000000,0.480000,0.767969,0.993000,0.001524,0.000610,0.000000,1.000000,0.027018,0.666667,0.400000,0.000000,0.020000,0.480000,0.870633,0.993000,0.001524,0.000610,0.000000,1.000000,0.027018,0.666667,0.400000,0.003049,0.020000,0.480000,1.141011,0.993000,0.001524,0.000610,0.000000,1.000000,0.027018,0.666667,0.400000,0.000610,0.000000,1.200000,1.000000,0.993000,0.001524,0.000610,1.000000,0.000000,0.027018,0.666667,0.400000,0.002622,0.020000,0.480000,0.214175,0.987000,0.002185,0.000524,0.000000,1.000000,0.031415,0.666667,0.400000,0.000874,0.000000,0.480000,0.767969,0.987000,0.002185,0.000524,0.000000,1.000000,0.031415,0.666667,0.400000,0.000000,0.030000,0.480000,0.870633,0.987000,0.002185,0.000524,0.000000,1.000000,0.031415,0.666667,0.400000,0.005244,0.020000,0.480000,1.141011,0.987000,0.002185,0.000524,0.000000,1.000000,0.031415,0.666667,0.400000,0.000524,0.010000,1.200000,1.000000,0.987000,0.002185,0.000524,1.000000,0.000000,0.031415
96.0000,1502,-4.903396,0,18,0.000000,0,1,1,1,1,1,10,0,2,6,6,7,2,9,0,6,1.000000,0.600000,0.002604,0.020000,0.480000,0.949011,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000868,0.000000,0.480000,0.910775,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000000,0.030000,0.480000,0.435329,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.005208,0.020000,0.480000,0.344093,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000521,0.010000,1.200000,1.000000,0.987000,0.002170,0.000521,1.000000,0.000000,0.031631,1.000000,0.600000,0.002604,0.040000,0.480000,0.949011,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000868,0.000000,0.480000,0.910775,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000000,0.030000,0.480000,0.435329,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.005208,0.020000,0.480000,0.344093,0.987000,0.002170,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000521,0.010000,1.200000,1.000000,0.987000,0.002170,0.000521,1.000000,0.000000,0.031631
