time,task_id,reward,selected_agent,selected_vm,selected_prb_ratio,done,mask_0,mask_1,mask_2,mask_3,mask_4,a0_score,a0_prb,a1_score,a1_prb,a2_score,a2_prb,a3_score,a3_prb,a4_score,a4_prb,s_0_0,s_0_1,s_0_2,s_0_3,s_0_4,s_0_5,s_0_6,s_0_7,s_0_8,s_0_9,s_0_10,s_0_11,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_3_0,s_3_1,s_3_2,s_3_3,s_3_4,s_3_5,s_3_6,s_3_7,s_3_8,s_3_9,s_3_10,s_3_11,s_4_0,s_4_1,s_4_2,s_4_3,s_4_4,s_4_5,s_4_6,s_4_7,s_4_8,s_4_9,s_4_10,s_4_11,s_next_0_0,s_next_0_1,s_next_0_2,s_next_0_3,s_next_0_4,s_next_0_5,s_next_0_6,s_next_0_7,s_next_0_8,s_next_0_9,s_next_0_10,s_next_0_11,s_next_1_0,s_next_1_1,s_next_1_2,s_next_1_3,s_next_1_4,s_next_1_5,s_next_1_6,s_next_1_7,s_next_1_8,s_next_1_9,s_next_1_10,s_next_1_11,s_next_2_0,s_next_2_1,s_next_2_2,s_next_2_3,s_next_2_4,s_next_2_5,s_next_2_6,s_next_2_7,s_next_2_8,s_next_2_9,s_next_2_10,s_next_2_11,s_next_3_0,s_next_3_1,s_next_3_2,s_next_3_3,s_next_3_4,s_next_3_5,s_next_3_6,s_next_3_7,s_next_3_8,s_next_3_9,s_next_3_10,s_next_3_11,s_next_4_0,s_next_4_1,s_next_4_2,s_next_4_3,s_next_4_4,s_next_4_5,s_next_4_6,s_next_4_7,s_next_4_8,s_next_4_9,s_next_4_10,s_next_4_11
49.0000,5006,-4.904800,1,39,0.000000,0,1,1,1,1,1,0,6,10,0,6,0,2,8,0,0,0.666667,0.400000,0.000000,0.010000,0.480000,0.327278,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.070000,0.480000,0.889694,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.080000,0.480000,0.432563,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.040000,0.480000,0.933571,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.040000,1.200000,1.000000,0.976000,0.000000,0.000000,1.000000,0.000000,0.016145,0.666667,0.400000,0.000000,0.020000,0.480000,0.327278,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.080000,0.480000,0.889694,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.080000,0.480000,0.432563,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.040000,0.480000,0.933571,0.976000,0.000000,0.000000,0.000000,1.000000,0.016145,0.666667,0.400000,0.000000,0.040000,1.200000,1.000000,0.976000,0.000000,0.000000,1.000000,0.000000,0.016145
50.0000,2502,-4.905000,2,56,0.000000,0,1,1,1,1,1,2,8,0,3,6,0,6,0,0,8,0.666667,0.400000,0.000000,0.020000,0.480000,0.761243,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.080000,0.480000,0.877791,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.080000,0.480000,0.202707,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.040000,0.480000,0.481784,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.040000,1.200000,1.000000,0.975000,0.000000,0.000000,1.000000,0.000000,0.016474,0.666667,0.400000,0.000000,0.020000,0.480000,0.761243,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.080000,0.480000,0.877791,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.090000,0.480000,0.202707,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.050000,0.480000,0.481784,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.060000,1.200000,1.000000,0.975000,0.000000,0.000000,1.000000,0.000000,0.016474
52.0000,2503,-4.907162,3,69,0.000000,0,1,1,1,1,1,2,3,6,6,5,6,9,0,0,3,0.666667,0.400000,0.000000,0.030000,0.480000,0.761243,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.000000,0.080000,0.480000,0.877791,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.004808,0.100000,0.480000,0.202707,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.004808,0.050000,0.480000,0.481784,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.000000,0.070000,1.200000,1.000000,0.969000,0.002404,0.000000,1.000000,0.000000,0.017133,0.666667,0.400000,0.000000,0.030000,0.480000,0.761243,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.000000,0.090000,0.480000,0.877791,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.004808,0.120000,0.480000,0.202707,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.004808,0.060000,0.480000,0.481784,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,0.666667,0.400000,0.000000,0.070000,1.200000,1.000000,0.969000,0.002404,0.000000,1.000000,0.000000,0.017133
52.0000,20752,-4.907562,1,40,0.000000,0,0,1,1,1,1,7,10,8,0,7,1,5,4,0,1,1.000000,0.600000,0.000000,0.030000,0.480000,1.045603,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.000000,0.080000,0.480000,0.894340,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.004808,0.120000,0.480000,0.595715,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.004808,0.060000,0.480000,0.247861,0.969000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.000000,0.070000,1.200000,1.000000,0.969000,0.002404,0.000000,1.000000,0.000000,0.017133,1.000000,0.600000,0.000000,0.030000,0.480000,1.045603,0.967000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.000000,0.090000,0.480000,0.894340,0.967000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.004808,0.120000,0.480000,0.595715,0.967000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.004808,0.060000,0.480000,0.247861,0.967000,0.002404,0.000000,0.000000,1.000000,0.017133,1.000000,0.600000,0.000000,0.070000,1.200000,1.000000,0.967000,0.002404,0.000000,1.000000,0.000000,0.017133
40.0000,15750,-4.559641,4,0,0.700000,0,1,0,1,0,1,0,10,3,0,2,5,9,6,9,7,1.000000,0.600000,0.000000,0.000000,0.480000,0.398197,0.998000,0.000000,0.000000,0.000000,1.000000,0.013180,1.000000,0.600000,0.000000,0.000000,0.480000,1.019748,0.998000,0.000000,0.000000,0.000000,1.000000,0.013180,1.000000,0.600000,0.000000,0.030000,0.480000,0.951159,0.998000,0.000000,0.000000,0.000000,1.000000,0.013180,1.000000,0.600000,0.000000,0.000000,0.480000,1.336424,0.998000,0.000000,0.000000,0.000000,1.000000,0.013180,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.998000,0.000000,0.000000,1.000000,0.000000,0.013180,1.000000,0.600000,0.000000,0.030000,0.480000,0.277371,0.962000,0.002904,0.000929,0.000000,1.000000,0.017730,1.000000,0.600000,0.000000,0.090000,0.480000,0.912433,0.962000,0.002904,0.000929,0.000000,1.000000,0.017730,1.000000,0.600000,0.004646,0.110000,0.480000,0.849274,0.962000,0.002904,0.000929,0.000000,1.000000,0.017730,1.000000,0.600000,0.006969,0.050000,0.480000,1.215264,0.962000,0.002904,0.000929,0.000000,1.000000,0.017730,1.000000,0.600000,0.000929,0.090000,1.200000,1.000000,0.962000,0.002904,0.000929,1.000000,0.000000,0.017730
44.0000,15752,7.758231,2,51,0.100000,0,1,1,1,0,1,5,4,7,5,8,1,6,1,2,4,1.000000,0.600000,0.000000,0.000000,0.480000,0.360984,0.991000,0.000000,0.000000,0.000000,1.000000,0.014498,1.000000,0.600000,0.000000,0.040000,0.480000,0.986382,0.991000,0.000000,0.000000,0.000000,1.000000,0.014498,1.000000,0.600000,0.000000,0.030000,0.480000,0.919307,0.991000,0.000000,0.000000,0.000000,1.000000,0.014498,1.000000,0.600000,0.000000,0.010000,0.480000,1.299140,0.991000,0.000000,0.000000,0.000000,1.000000,0.014498,1.000000,0.600000,0.000000,0.020000,1.200000,1.000000,0.991000,0.000000,0.000000,1.000000,0.000000,0.014498,1.000000,0.600000,0.000000,0.030000,0.480000,0.268096,0.963000,0.003472,0.000926,0.000000,1.000000,0.017792,1.000000,0.600000,0.002315,0.090000,0.480000,0.904325,0.963000,0.003472,0.000926,0.000000,1.000000,0.017792,1.000000,0.600000,0.004630,0.110000,0.480000,0.841651,0.963000,0.003472,0.000926,0.000000,1.000000,0.017792,1.000000,0.600000,0.006944,0.050000,0.480000,1.205946,0.963000,0.003472,0.000926,0.000000,1.000000,0.017792,1.000000,0.600000,0.000926,0.090000,1.200000,1.000000,0.963000,0.003472,0.000926,1.000000,0.000000,0.017792
45.0000,28250,7.756522,3,66,1.000000,0,1,0,1,1,1,3,9,2,4,1,1,6,10,2,9,1.000000,0.600000,0.000000,0.000000,0.480000,0.910189,0.989000,0.000000,0.000000,0.000000,1.000000,0.014827,1.000000,0.600000,0.000000,0.040000,0.480000,1.174545,0.989000,0.000000,0.000000,0.000000,1.000000,0.014827,1.000000,0.600000,0.000000,0.050000,0.480000,0.252982,0.989000,0.000000,0.000000,0.000000,1.000000,0.014827,1.000000,0.600000,0.000000,0.020000,0.480000,0.784290,0.989000,0.000000,0.000000,0.000000,1.000000,0.014827,1.000000,0.600000,0.000000,0.020000,1.200000,1.000000,0.989000,0.000000,0.000000,1.000000,0.000000,0.014827,1.000000,0.600000,0.000000,0.030000,0.480000,0.910189,0.956000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.002273,0.090000,0.480000,1.174545,0.956000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.004545,0.110000,0.480000,0.252982,0.956000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.009091,0.060000,0.480000,0.784290,0.956000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.001818,0.120000,1.200000,1.000000,0.956000,0.003977,0.001818,1.000000,0.000000,0.018122
50.0000,20751,8.173389,3,68,0.400000,0,0,1,1,1,1,3,7,9,5,8,10,10,4,1,0,1.000000,0.600000,0.000000,0.020000,0.480000,1.033969,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,1.000000,0.600000,0.000000,0.080000,0.480000,0.894625,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,1.000000,0.600000,0.000000,0.090000,0.480000,0.577681,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,1.000000,0.600000,0.000000,0.040000,0.480000,0.254905,0.975000,0.000000,0.000000,0.000000,1.000000,0.016474,1.000000,0.600000,0.000000,0.060000,1.200000,1.000000,0.975000,0.000000,0.000000,1.000000,0.000000,0.016474,1.000000,0.600000,0.000000,0.030000,0.480000,1.063431,0.957000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.002273,0.090000,0.480000,0.894644,0.957000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.004545,0.110000,0.480000,0.622836,0.957000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.009091,0.060000,0.480000,0.239643,0.957000,0.003977,0.001818,0.000000,1.000000,0.018122,1.000000,0.600000,0.001818,0.120000,1.200000,1.000000,0.957000,0.003977,0.001818,1.000000,0.000000,0.018122
42.0000,15751,-4.561959,4,1,0.200000,0,1,0,1,0,1,5,2,6,5,2,3,1,2,10,2,1.000000,0.600000,0.000000,0.000000,0.480000,0.379587,0.995000,0.000000,0.000000,0.000000,1.000000,0.013839,1.000000,0.600000,0.000000,0.020000,0.480000,1.003030,0.995000,0.000000,0.000000,0.000000,1.000000,0.013839,1.000000,0.600000,0.000000,0.030000,0.480000,0.935182,0.995000,0.000000,0.000000,0.000000,1.000000,0.013839,1.000000,0.600000,0.000000,0.010000,0.480000,1.317782,0.995000,0.000000,0.000000,0.000000,1.000000,0.013839,1.000000,0.600000,0.000000,0.010000,1.200000,1.000000,0.995000,0.000000,0.000000,1.000000,0.000000,0.013839,1.000000,0.600000,0.000000,0.040000,0.480000,0.258825,0.951000,0.003920,0.001792,0.000000,1.000000,0.018389,1.000000,0.600000,0.002240,0.090000,0.480000,0.896241,0.951000,0.003920,0.001792,0.000000,1.000000,0.018389,1.000000,0.600000,0.004479,0.120000,0.480000,0.834062,0.951000,0.003920,0.001792,0.000000,1.000000,0.018389,1.000000,0.600000,0.008959,0.050000,0.480000,1.196627,0.951000,0.003920,0.001792,0.000000,1.000000,0.018389,1.000000,0.600000,0.001792,0.140000,1.200000,1.000000,0.951000,0.003920,0.001792,1.000000,0.000000,0.018389
48.0000,20750,7.922413,2,55,0.600000,0,0,1,1,1,1,1,10,9,4,10,6,2,7,1,3,1.000000,0.600000,0.000000,0.010000,0.480000,1.022543,0.981000,0.000000,0.000000,0.000000,1.000000,0.015815,1.000000,0.600000,0.000000,0.070000,0.480000,0.895298,0.981000,0.000000,0.000000,0.000000,1.000000,0.015815,1.000000,0.600000,0.000000,0.070000,0.480000,0.559688,0.981000,0.000000,0.000000,0.000000,1.000000,0.015815,1.000000,0.600000,0.000000,0.040000,0.480000,0.263089,0.981000,0.000000,0.000000,0.000000,1.000000,0.015815,1.000000,0.600000,0.000000,0.040000,1.200000,1.000000,0.981000,0.000000,0.000000,1.000000,0.000000,0.015815,1.000000,0.600000,0.000000,0.040000,0.480000,1.069470,0.952000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.004464,0.080000,0.480000,0.894940,0.952000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.006696,0.120000,0.480000,0.631894,0.952000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.008929,0.050000,0.480000,0.237575,0.952000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.001786,0.140000,1.200000,1.000000,0.952000,0.005022,0.001786,1.000000,0.000000,0.018451
47.0000,28251,7.839279,3,67,0.500000,0,1,0,1,1,1,3,8,7,10,3,1,5,5,1,6,1.000000,0.600000,0.000000,0.000000,0.480000,0.910189,0.983000,0.000000,0.000000,0.000000,1.000000,0.015486,1.000000,0.600000,0.000000,0.060000,0.480000,1.174545,0.983000,0.000000,0.000000,0.000000,1.000000,0.015486,1.000000,0.600000,0.000000,0.060000,0.480000,0.252982,0.983000,0.000000,0.000000,0.000000,1.000000,0.015486,1.000000,0.600000,0.000000,0.030000,0.480000,0.784290,0.983000,0.000000,0.000000,0.000000,1.000000,0.015486,1.000000,0.600000,0.000000,0.030000,1.200000,1.000000,0.983000,0.000000,0.000000,1.000000,0.000000,0.015486,1.000000,0.600000,0.000000,0.040000,0.480000,0.910189,0.953000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.004464,0.080000,0.480000,1.174545,0.953000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.006696,0.120000,0.480000,0.252982,0.953000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.008929,0.050000,0.480000,0.784290,0.953000,0.005022,0.001786,0.000000,1.000000,0.018451,1.000000,0.600000,0.001786,0.140000,1.200000,1.000000,0.953000,0.005022,0.001786,1.000000,0.000000,0.018451
46.0000,15753,7.672153,1,36,0.900000,0,1,1,1,0,1,1,4,10,9,0,0,7,0,9,5,1.000000,0.600000,0.000000,0.000000,0.480000,0.342387,0.986000,0.000000,0.000000,0.000000,1.000000,0.015157,1.000000,0.600000,0.000000,0.040000,0.480000,0.969807,0.986000,0.000000,0.000000,0.000000,1.000000,0.015157,1.000000,0.600000,0.000000,0.060000,0.480000,0.903538,0.986000,0.000000,0.000000,0.000000,1.000000,0.015157,1.000000,0.600000,0.000000,0.030000,0.480000,1.280500,0.986000,0.000000,0.000000,0.000000,1.000000,0.015157,1.000000,0.600000,0.000000,0.030000,1.200000,1.000000,0.986000,0.000000,0.000000,1.000000,0.000000,0.015157,1.000000,0.600000,0.002193,0.060000,0.480000,0.240297,0.949000,0.005482,0.001754,0.000000,1.000000,0.018781,1.000000,0.600000,0.004386,0.080000,0.480000,0.880146,0.949000,0.005482,0.001754,0.000000,1.000000,0.018781,1.000000,0.600000,0.006579,0.130000,0.480000,0.818992,0.949000,0.005482,0.001754,0.000000,1.000000,0.018781,1.000000,0.600000,0.008772,0.060000,0.480000,1.177991,0.949000,0.005482,0.001754,0.000000,1.000000,0.018781,1.000000,0.600000,0.001754,0.140000,1.200000,1.000000,0.949000,0.005482,0.001754,1.000000,0.000000,0.018781
