time,task_id,reward,selected_agent,selected_vm,selected_priority_bin,done,mask_0,mask_1,mask_2,mask_3,mask_4,a0_score,a0_priority_bin,a1_score,a1_priority_bin,a2_score,a2_priority_bin,a3_score,a3_priority_bin,a4_score,a4_priority_bin,s_0_0,s_0_1,s_0_2,s_0_3,s_0_4,s_0_5,s_0_6,s_0_7,s_0_8,s_0_9,s_0_10,s_0_11,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_3_0,s_3_1,s_3_2,s_3_3,s_3_4,s_3_5,s_3_6,s_3_7,s_3_8,s_3_9,s_3_10,s_3_11,s_4_0,s_4_1,s_4_2,s_4_3,s_4_4,s_4_5,s_4_6,s_4_7,s_4_8,s_4_9,s_4_10,s_4_11,s_next_0_0,s_next_0_1,s_next_0_2,s_next_0_3,s_next_0_4,s_next_0_5,s_next_0_6,s_next_0_7,s_next_0_8,s_next_0_9,s_next_0_10,s_next_0_11,s_next_1_0,s_next_1_1,s_next_1_2,s_next_1_3,s_next_1_4,s_next_1_5,s_next_1_6,s_next_1_7,s_next_1_8,s_next_1_9,s_next_1_10,s_next_1_11,s_next_2_0,s_next_2_1,s_next_2_2,s_next_2_3,s_next_2_4,s_next_2_5,s_next_2_6,s_next_2_7,s_next_2_8,s_next_2_9,s_next_2_10,s_next_2_11,s_next_3_0,s_next_3_1,s_next_3_2,s_next_3_3,s_next_3_4,s_next_3_5,s_next_3_6,s_next_3_7,s_next_3_8,s_next_3_9,s_next_3_10,s_next_3_11,s_next_4_0,s_next_4_1,s_next_4_2,s_next_4_3,s_next_4_4,s_next_4_5,s_next_4_6,s_next_4_7,s_next_4_8,s_next_4_9,s_next_4_10,s_next_4_11
47.0000,1000,8.024711,2,48,5,0,1,1,1,1,1,9,1,1,7,10,5,6,10,2,5,0.666667,0.400000,0.000000,0.000000,0.480000,0.327278,1.000000,0.000000,0.000000,0.000000,1.000000,0.015486,0.666667,0.400000,0.000000,0.000000,0.480000,0.889694,1.000000,0.000000,0.000000,0.000000,1.000000,0.015486,0.666667,0.400000,0.000000,0.000000,0.480000,0.432563,1.000000,0.000000,0.000000,0.000000,1.000000,0.015486,0.666667,0.400000,0.000000,0.000000,0.480000,0.933571,1.000000,0.000000,0.000000,0.000000,1.000000,0.015486,0.666667,0.400000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.015486,0.666667,0.400000,0.000000,0.000000,0.480000,0.327278,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,0.480000,0.889694,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.001667,0.000000,0.480000,0.432563,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,0.480000,0.933571,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,1.200000,1.000000,0.000000,0.000417,0.000000,1.000000,0.000000,0.016474
50.0000,750,8.024455,2,48,2,0,0,1,1,1,1,2,9,6,0,8,2,1,0,5,6,0.666667,0.400000,0.000000,0.000000,0.480000,1.010369,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,0.480000,0.960327,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.001667,0.000000,0.480000,0.482120,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,0.480000,0.365817,0.000000,0.000417,0.000000,0.000000,1.000000,0.016474,0.666667,0.400000,0.000000,0.000000,1.200000,1.000000,0.000000,0.000417,0.000000,1.000000,0.000000,0.016474,0.666667,0.400000,0.000000,0.000000,0.480000,1.019013,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,0.666667,0.400000,0.000000,0.000000,0.480000,0.983842,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,0.666667,0.400000,0.003145,0.000000,0.480000,0.474855,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,0.666667,0.400000,0.000000,0.000000,0.480000,0.393758,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,0.666667,0.400000,0.000000,0.000000,1.200000,1.000000,0.000000,0.000786,0.000000,1.000000,0.000000,0.017463
53.0000,3100,8.065939,0,16,1,0,1,1,1,0,1,7,1,3,2,7,0,3,10,3,2,1.000000,0.600000,0.000000,0.000000,0.480000,0.277371,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,1.000000,0.600000,0.000000,0.000000,0.480000,0.912433,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,1.000000,0.600000,0.003145,0.000000,0.480000,0.849274,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,1.000000,0.600000,0.000000,0.000000,0.480000,1.215264,0.000000,0.000786,0.000000,0.000000,1.000000,0.017463,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.000000,0.000786,0.000000,1.000000,0.000000,0.017463,1.000000,0.600000,0.002193,0.000000,0.480000,0.240297,0.000000,0.001645,0.002924,0.000000,1.000000,0.018781,1.000000,0.600000,0.000000,0.000000,0.480000,0.880146,0.000000,0.001645,0.002924,0.000000,1.000000,0.018781,1.000000,0.600000,0.004386,0.010000,0.480000,0.818992,0.000000,0.001645,0.002924,0.000000,1.000000,0.018781,1.000000,0.600000,0.000000,0.000000,0.480000,1.177991,0.000000,0.001645,0.002924,0.000000,1.000000,0.018781,1.000000,0.600000,0.002924,0.010000,1.200000,1.000000,0.000000,0.001645,0.002924,1.000000,0.000000,0.018781
54.0000,1700,8.239285,4,0,4,0,0,1,1,1,1,5,8,2,9,3,6,2,9,3,4,2.000000,1.250000,0.002315,0.010000,0.480000,1.122793,0.000000,0.001350,0.000000,0.000000,1.000000,0.017792,2.000000,1.250000,0.000000,0.000000,0.480000,0.808764,0.000000,0.001350,0.000000,0.000000,1.000000,0.017792,2.000000,1.250000,0.003086,0.000000,0.480000,0.799383,0.000000,0.001350,0.000000,0.000000,1.000000,0.017792,2.000000,1.250000,0.000000,0.000000,0.480000,0.180133,0.000000,0.001350,0.000000,0.000000,1.000000,0.017792,2.000000,1.250000,0.000000,0.000000,1.200000,1.000000,0.000000,0.001350,0.000000,1.000000,0.000000,0.017792,2.000000,1.250000,0.002155,0.000000,0.480000,1.118592,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,2.000000,1.250000,0.000000,0.000000,0.480000,0.783605,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,2.000000,1.250000,0.004310,0.010000,0.480000,0.817815,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,2.000000,1.250000,0.000000,0.000000,0.480000,0.177795,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,2.000000,1.250000,0.002874,0.000000,1.200000,1.000000,0.000000,0.001616,0.002874,1.000000,0.000000,0.019110
56.0000,500,8.023962,2,48,1,0,1,1,1,1,1,0,2,1,5,3,1,2,3,0,6,0.666667,0.400000,0.002232,0.000000,0.480000,0.761243,1.000000,0.001302,0.002976,0.000000,1.000000,0.018451,0.666667,0.400000,0.000000,0.000000,0.480000,0.877791,1.000000,0.001302,0.002976,0.000000,1.000000,0.018451,0.666667,0.400000,0.002976,0.000000,0.480000,0.202707,1.000000,0.001302,0.002976,0.000000,1.000000,0.018451,0.666667,0.400000,0.000000,0.000000,0.480000,0.481784,1.000000,0.001302,0.002976,0.000000,1.000000,0.018451,0.666667,0.400000,0.002976,0.010000,1.200000,1.000000,1.000000,0.001302,0.002976,1.000000,0.000000,0.018451,0.666667,0.400000,0.002119,0.000000,0.480000,0.761243,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.000000,0.000000,0.480000,0.877791,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.006356,0.010000,0.480000,0.202707,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.000000,0.000000,0.480000,0.481784,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.002825,0.000000,1.200000,1.000000,0.000000,0.002119,0.002825,1.000000,0.000000,0.019440
58.0000,5100,8.065788,2,49,1,0,1,0,1,1,1,8,9,10,4,9,1,7,1,3,3,1.000000,0.600000,0.002155,0.000000,0.480000,0.910189,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,1.000000,0.600000,0.000000,0.000000,0.480000,1.174545,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,1.000000,0.600000,0.004310,0.010000,0.480000,0.252982,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,1.000000,0.600000,0.000000,0.000000,0.480000,0.784290,0.000000,0.001616,0.002874,0.000000,1.000000,0.019110,1.000000,0.600000,0.002874,0.000000,1.200000,1.000000,0.000000,0.001616,0.002874,1.000000,0.000000,0.019110,1.000000,0.600000,0.002016,0.000000,0.480000,0.910189,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,1.000000,0.600000,0.003360,0.010000,0.480000,1.174545,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,1.000000,0.600000,0.006048,0.000000,0.480000,0.252982,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,1.000000,0.600000,0.000000,0.000000,0.480000,0.784290,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,1.000000,0.600000,0.002688,0.000000,1.200000,1.000000,0.000000,0.002856,0.002688,1.000000,0.000000,0.020428
59.0000,1001,8.024121,1,32,10,0,1,1,1,1,1,6,2,10,10,2,9,9,0,0,1,0.666667,0.400000,0.002119,0.000000,0.480000,0.327278,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.000000,0.000000,0.480000,0.889694,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.006356,0.010000,0.480000,0.432563,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.000000,0.000000,0.480000,0.933571,0.000000,0.002119,0.002825,0.000000,1.000000,0.019440,0.666667,0.400000,0.002825,0.000000,1.200000,1.000000,0.000000,0.002119,0.002825,1.000000,0.000000,0.019440,0.666667,0.400000,0.002016,0.000000,0.480000,0.327278,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.003360,0.010000,0.480000,0.889694,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.006048,0.000000,0.480000,0.432563,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.000000,0.000000,0.480000,0.933571,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.002688,0.000000,1.200000,1.000000,0.000000,0.002856,0.002688,1.000000,0.000000,0.020428
61.0000,3900,8.065667,1,33,8,0,0,1,1,1,1,10,8,7,8,7,9,2,3,6,9,1.000000,0.600000,0.002049,0.000000,0.480000,1.100357,1.000000,0.002391,0.002732,0.000000,1.000000,0.020099,1.000000,0.600000,0.001366,0.010000,0.480000,0.897875,1.000000,0.002391,0.002732,0.000000,1.000000,0.020099,1.000000,0.600000,0.006148,0.000000,0.480000,0.677294,1.000000,0.002391,0.002732,0.000000,1.000000,0.020099,1.000000,0.600000,0.000000,0.000000,0.480000,0.232638,1.000000,0.002391,0.002732,0.000000,1.000000,0.020099,1.000000,0.600000,0.002732,0.000000,1.200000,1.000000,1.000000,0.002391,0.002732,1.000000,0.000000,0.020099,1.000000,0.600000,0.003205,0.010000,0.480000,1.125850,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,1.000000,0.600000,0.003205,0.000000,0.480000,0.901956,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,1.000000,0.600000,0.007051,0.000000,0.480000,0.713731,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,1.000000,0.600000,0.000000,0.000000,0.480000,0.235370,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,1.000000,0.600000,0.002564,0.000000,1.200000,1.000000,0.000000,0.003365,0.002564,1.000000,0.000000,0.021417
62.0000,751,8.024001,2,48,6,0,0,0,1,1,1,10,5,6,10,6,6,4,0,2,1,0.666667,0.400000,0.002016,0.000000,0.480000,1.049008,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.003360,0.010000,0.480000,1.055700,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.006048,0.000000,0.480000,0.462644,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.000000,0.000000,0.480000,0.477624,0.000000,0.002856,0.002688,0.000000,1.000000,0.020428,0.666667,0.400000,0.002688,0.000000,1.200000,1.000000,0.000000,0.002856,0.002688,1.000000,0.000000,0.020428,0.666667,0.400000,0.003205,0.010000,0.480000,1.049341,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,0.666667,0.400000,0.003205,0.000000,0.480000,1.060785,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,0.666667,0.400000,0.007051,0.000000,0.480000,0.459414,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,0.666667,0.400000,0.000000,0.000000,0.480000,0.484983,0.000000,0.003365,0.002564,0.000000,1.000000,0.021417,0.666667,0.400000,0.002564,0.000000,1.200000,1.000000,0.000000,0.003365,0.002564,1.000000,0.000000,0.021417
63.0000,1250,8.024016,0,16,7,0,1,1,1,1,1,10,7,6,5,7,4,7,10,6,6,0.666667,0.400000,0.001984,0.000000,0.480000,0.712121,0.000000,0.003142,0.002646,0.000000,1.000000,0.020758,0.666667,0.400000,0.003307,0.010000,0.480000,0.054793,0.000000,0.003142,0.002646,0.000000,1.000000,0.020758,0.666667,0.400000,0.007275,0.010000,0.480000,0.996853,0.000000,0.003142,0.002646,0.000000,1.000000,0.020758,0.666667,0.400000,0.000000,0.000000,0.480000,0.699715,0.000000,0.003142,0.002646,0.000000,1.000000,0.020758,0.666667,0.400000,0.002646,0.000000,1.200000,1.000000,0.000000,0.003142,0.002646,1.000000,0.000000,0.020758,0.666667,0.400000,0.003157,0.000000,0.480000,0.695413,0.000000,0.003314,0.002525,0.000000,1.000000,0.021746,0.666667,0.400000,0.003157,0.000000,0.480000,0.029976,0.000000,0.003314,0.002525,0.000000,1.000000,0.021746,0.666667,0.400000,0.006944,0.000000,0.480000,0.969338,0.000000,0.003314,0.002525,0.000000,1.000000,0.021746,0.666667,0.400000,0.000000,0.000000,0.480000,0.675956,0.000000,0.003314,0.002525,0.000000,1.000000,0.021746,0.666667,0.400000,0.002525,0.000000,1.200000,1.000000,0.000000,0.003314,0.002525,1.000000,0.000000,0.021746
