time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
39.0,5221,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,0.999,1,100,0.0024752475247524753,9.860966666666666,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,0.986,0
43.0,5671,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.993,1,100,0.0024752475247524753,9.902033333333334,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.974,0
41.0,7021,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.996,0,0,0.0024752475247524753,9.7987,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.974,0
41.0,7920,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.996,0,0,0.0024752475247524753,9.7987,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.974,0
45.0,7023,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,5.0,0.983,1,100,0.0024752475247524753,9.901583333333333,0.0,0.06377551020408163,0.0,12.0,120000.0,20000.0,1.0,4.0,0.965,0
47.0,7923,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.974,1,100,0.0024752475247524753,9.901033333333334,0.0,0.061274509803921566,0.0,12.0,120000.0,20000.0,1.0,5.0,0.954,0
45.0,7471,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.983,1,100,0.0024752475247524753,9.8177,0.0,0.061274509803921566,0.0,12.0,120000.0,20000.0,2.0,2.0,0.954,0
47.0,5673,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.974,1,100,0.0024752475247524753,9.859166666666665,0.0,0.06009615384615385,25.0,12.0,120000.0,20000.0,3.0,2.0,0.95,0
45.0,5672,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.983,2,100,0.0024752475247524753,9.775883333333333,0.0,0.06009615384615385,25.0,12.0,120000.0,20000.0,3.0,2.0,0.951,0
49.0,5226,0.0,0.06377551020408163,0.0,12.0,120000.0,20000.0,1.0,6.0,0.965,1,100,0.0024752475247524753,9.900633333333333,0.0,0.0589622641509434,0.0,12.0,120000.0,20000.0,1.0,6.0,0.946,0
46.0,8821,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,2.0,0.979,1,100,0.0024752475247524753,9.733716666666666,0.0,0.057870370370370364,0.0,12.0,120000.0,0.0,0.0,2.0,0.941,0
49.0,5674,0.0,0.06377551020408163,0.0,12.0,120000.0,20000.0,1.0,2.0,0.965,1,91,0.0024752475247524753,9.816650000000001,0.0,0.17045454545454544,12.5,12.0,120000.0,20000.0,2.0,2.0,0.938,0
54.0,11975,0.0,0.057870370370370364,0.0,12.0,120000.0,0.0,0.0,1.0,0.941,1,100,0.0024752475247524753,-2.93395,0.0,0.2741228070175438,0.0,12.0,120000.0,0.0,0.0,0.0,0.926,1
48.0,11972,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,1.0,0.969,1,100,0.0024752475247524753,9.6911,0.0,0.3289473684210526,0.0,12.0,120000.0,0.0,0.0,0.0,0.927,0
51.0,7026,0.0,0.061274509803921566,0.0,12.0,120000.0,20000.0,1.0,4.0,0.954,0,0,0.0024752475247524753,9.79635,0.0,0.3289473684210526,0.0,12.0,120000.0,20000.0,1.0,4.0,0.927,0
51.0,5675,0.0,0.061274509803921566,12.5,12.0,120000.0,20000.0,2.0,2.0,0.954,0,0,0.0024752475247524753,9.795432916666666,0.0,0.3288896107894035,0.0,12.0,120000.0,20000.0,1.0,2.0,0.917,0
51.0,7474,0.0,0.061274509803921566,0.0,12.0,120000.0,20000.0,1.0,2.0,0.954,1,100,0.0024752475247524753,9.815182916666666,0.0,0.3288896107894035,12.5,12.0,120000.0,20000.0,2.0,3.0,0.917,0
44.0,1352,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,6.0,0.986,1,100,0.0024752475247524753,-3.7674833333333333,0.0,0.3270348837209302,0.0,8.0,80000.0,0.0,0.0,6.0,0.917,1
54.0,8825,0.0,0.057870370370370364,0.0,12.0,120000.0,0.0,0.0,2.0,0.941,2,100,0.0024752475247524753,9.899233333333333,0.0,0.3771551724137931,0.0,12.0,120000.0,0.0,0.0,2.0,0.918,0
50.0,11973,0.0,0.0625,0.0,12.0,120000.0,0.0,0.0,1.0,0.958,2,100,0.0024752475247524753,9.6906,0.0,0.423728813559322,0.0,12.0,120000.0,0.0,0.0,0.0,0.912,0
55.0,5677,0.0,0.17045454545454544,12.5,12.0,120000.0,20000.0,2.0,2.0,0.938,1,100,0.0024752475247524753,9.898983333333334,0.0,0.423728813559322,0.0,12.0,120000.0,20000.0,1.0,2.0,0.913,0
43.0,7470,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.993,2,100,0.0024752475247524753,-3.6010166666666663,0.0,0.423728813559322,12.5,12.0,120000.0,20000.0,2.0,5.0,0.913,1
