time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
77.0,1714,0.0,0.2840909090909091,0.0,12.0,120000.0,0.0,0.0,1.0,0.958,2,100,0.0024752475247524753,9.649933333333333,0.0,0.574712643678161,0.0,12.0,120000.0,0.0,0.0,1.0,0.932,0
78.0,826,0.0,0.3205128205128205,0.0,12.0,120000.0,20000.0,1.0,0.0,0.955,2,100,0.0024752475247524753,9.608066666666666,0.0,0.6320224719101123,12.5,12.0,120000.0,20000.0,2.0,0.0,0.928,0
84.0,829,0.0,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,0.0,0.939,2,100,0.0024752475247524753,9.81625,0.0,0.6597222222222222,12.5,12.0,120000.0,20000.0,2.0,0.0,0.925,0
84.0,1268,0.0,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,0.0,0.939,0,0,0.0024752475247524753,9.796000000000001,0.0,0.6597222222222222,12.5,12.0,120000.0,20000.0,3.0,0.0,0.925,0
49.0,2162,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.998,3,100,0.0024752475247524753,-3.9338,0.05496921119511751,0.6527593829420203,0.0,12.0,120000.0,0.0,0.0,0.0,0.924,1
67.0,2171,0.0,0.09328358208955223,0.0,12.0,120000.0,0.0,0.0,0.0,0.983,2,100,0.0024752475247524753,-3.9338,0.054945054945054944,0.6524725274725275,0.0,12.0,120000.0,0.0,0.0,0.0,0.924,1
82.0,828,0.0,0.41920731707317077,0.0,12.0,120000.0,20000.0,1.0,0.0,0.944,2,100,0.0024752475247524753,9.649383333333333,0.05434782608695652,0.6793478260869564,25.0,12.0,120000.0,20000.0,3.0,0.0,0.921,0
79.0,2177,0.0,0.3560126582278481,0.0,12.0,120000.0,0.0,0.0,0.0,0.953,2,100,0.0024752475247524753,-3.4756166666666664,0.05434782608695652,0.6793478260869564,0.0,12.0,120000.0,0.0,0.0,0.0,0.921,1
51.0,2163,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,3,100,0.0024752475247524753,-3.93405,0.10757313816984315,0.6723321135615197,0.0,12.0,120000.0,0.0,0.0,0.0,0.919,1
88.0,831,0.0,0.5681818181818181,0.0,12.0,120000.0,20000.0,1.0,0.0,0.928,0,0,0.0024752475247524753,9.7955,0.10638297872340426,0.7646276595744681,12.5,12.0,120000.0,20000.0,2.0,0.0,0.915,0
