time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,s_next9,done
39.0,5221,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,6.0,0.576,1.0,2,668,2.4975024975024975E-4,-4.8271999999999995,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,6.0,0.576,1.0,1
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1.0,1.0,2,424,2.4975024975024975E-4,-5.010400000000001,0.0,0.078125,0.0,12.0,120000.0,20000.0,1.0,6.0,0.382,1.0,1
41.0,5670,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0.382,1.0,2,829,2.4975024975024975E-4,-4.9145,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0.285,1.0,1
41.0,7021,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.382,1.0,2,829,2.4975024975024975E-4,-4.9145,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.285,1.0,1
39.0,7020,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,5.0,0.576,1.0,1,97,2.4975024975024975E-4,-5.0989,0.0,0.0744047619047619,0.0,12.0,120000.0,20000.0,1.0,5.0,0.087,1.0,1
40.0,1350,0.0,0.078125,0.0,8.0,80000.0,0.0,0.0,6.0,0.479,1.0,1,97,2.4975024975024975E-4,-5.1197333333333335,0.0,0.07381889763779527,0.0,8.0,80000.0,0.0,0.0,6.0,0.087,1.0,1
43.0,4140,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,0.0,0.087,1.0,2,198,2.4975024975024975E-4,-4.9739,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,0.0,0.087,1.0,1
43.0,5223,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,7.0,0.087,1.0,1,75,2.4975024975024975E-4,-4.9963999999999995,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,7.0,0.012,1.0,1
43.0,7470,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.087,1.0,2,308,2.4975024975024975E-4,-4.9963999999999995,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.012,1.0,1
43.0,7921,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,5.0,0.087,1.0,2,308,2.4975024975024975E-4,-4.9963999999999995,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,5.0,0.012,1.0,1
