time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb_ratio,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
76.0,1264,0.0,0.041118421052631575,25.0,12.0,120000.0,20000.0,3.0,0.0,0.977,0,0.0,1.0,9.797182916666666,0.0,0.03810510448663523,37.5,12.0,120000.0,20000.0,4.0,0.0,0.967,0
78.0,826,0.0,0.04006410256410256,12.5,12.0,120000.0,20000.0,2.0,0.0,0.973,0,0.0,1.0,9.796982916666666,0.0,0.11159384459066247,37.5,12.0,120000.0,20000.0,4.0,0.0,0.963,0
78.0,1265,0.0,0.04006410256410256,25.0,12.0,120000.0,20000.0,3.0,0.0,0.973,0,0.0,1.0,9.796982916666666,0.0,0.11159384459066247,37.5,12.0,120000.0,20000.0,4.0,0.0,0.963,0
85.0,10,0.0,0.11029411764705882,0.0,8.0,80000.0,0.0,0.0,1.0,0.963,3,0.0,1.0,-4.931850000000001,0.0,0.11029411764705882,0.0,8.0,80000.0,0.0,0.0,1.0,0.963,1
74.0,824,0.0,0.0,37.5,12.0,120000.0,20000.0,4.0,0.0,0.982,2,0.5134344696998596,1.0,9.58555,0.0,0.14534883720930233,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0
80.0,827,0.0,0.0390625,12.5,12.0,120000.0,20000.0,2.0,0.0,0.969,0,0.0,1.0,9.796882916666666,0.0,0.14533192124963132,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0
80.0,1266,0.0,0.0390625,25.0,12.0,120000.0,20000.0,3.0,0.0,0.969,0,0.0,1.0,9.796882916666666,0.0,0.14533192124963132,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0
73.0,4,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.984,1,0.5134344696998596,1.0,-3.7659589583333326,0.0,0.14477085919343022,0.0,8.0,80000.0,0.0,0.0,1.0,0.96,1
76.0,825,0.0,0.041118421052631575,25.0,12.0,120000.0,20000.0,3.0,0.0,0.977,2,1.0,1.0,9.614716666666666,0.0,0.14367816091954022,37.5,12.0,120000.0,20000.0,4.0,0.0,0.961,0
82.0,828,0.0,0.038109756097560975,25.0,12.0,120000.0,20000.0,3.0,0.0,0.967,0,0.0,1.0,9.796832916666666,0.0,0.142029298712726,25.0,12.0,120000.0,20000.0,3.0,0.0,0.955,0
82.0,1267,0.0,0.038109756097560975,37.5,12.0,120000.0,20000.0,4.0,0.0,0.967,0,0.0,1.0,9.796832916666666,0.0,0.142029298712726,25.0,12.0,120000.0,20000.0,3.0,0.0,0.955,0
79.0,1715,0.0,0.03955696202531646,0.0,12.0,120000.0,0.0,0.0,1.0,0.971,2,0.5386000871658325,1.0,9.651083333333334,0.0,0.17556179775280897,0.0,12.0,120000.0,0.0,0.0,1.0,0.955,0
89.0,12,0.0,0.17556179775280897,0.0,8.0,80000.0,0.0,0.0,1.0,0.955,2,0.0,1.0,-4.93225,0.0,0.17556179775280897,0.0,8.0,80000.0,0.0,0.0,1.0,0.955,1
90.0,832,0.0,0.1736111111111111,25.0,12.0,120000.0,20000.0,3.0,0.0,0.953,3,0.0,1.0,-4.9274,0.0,0.1736111111111111,25.0,12.0,120000.0,20000.0,3.0,0.0,0.952,1
84.0,829,0.0,0.11160714285714285,37.5,12.0,120000.0,20000.0,4.0,0.0,0.964,0,0.0,1.0,9.796882916666666,0.0,0.17359180384492792,12.5,12.0,120000.0,20000.0,2.0,0.0,0.951,0
84.0,1268,0.0,0.11160714285714285,37.5,12.0,120000.0,20000.0,4.0,0.0,0.964,0,0.0,1.0,9.796632916666665,0.0,0.17359180384492792,25.0,12.0,120000.0,20000.0,3.0,0.0,0.951,0
87.0,1719,0.0,0.14367816091954022,0.0,12.0,120000.0,0.0,0.0,1.0,0.961,1,1.0,1.0,9.900933333333333,0.0,0.20604395604395603,0.0,12.0,120000.0,0.0,0.0,1.0,0.952,0
67.0,2171,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.987,2,0.1,1.0,-3.9324,0.0,0.20604395604395603,0.0,12.0,120000.0,0.0,0.0,0.0,0.952,1
91.0,13,0.0,0.20604395604395603,0.0,8.0,80000.0,0.0,0.0,1.0,0.952,1,0.0,1.0,-4.932650000000001,0.0,0.20604395604395603,0.0,8.0,80000.0,0.0,0.0,1.0,0.952,1
