time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
42.0,3780,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,3.0,1.0,1,100,0.0024752475247524753,9.861366666666665,0.0,0.06648936170212766,0.0,12.0,120000.0,0.0,0.0,3.0,0.994,0
41.0,1980,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1.0,0,0,0.0024752475247524753,9.7997,0.0,0.06648936170212766,0.0,12.0,120000.0,20000.0,1.0,2.0,0.994,0
41.0,2880,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,1.0,0,0,0.0024752475247524753,9.79945,0.0,0.06648936170212766,12.5,12.0,120000.0,20000.0,3.0,0.0,0.994,0
45.0,1982,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,2.0,0.996,1,100,0.0024752475247524753,9.902883333333333,0.0,0.06377551020408163,0.0,12.0,120000.0,20000.0,1.0,2.0,0.991,0
43.0,2881,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.999,2,100,0.0024752475247524753,9.777783333333334,0.0,0.0625,25.0,12.0,120000.0,20000.0,3.0,0.0,0.989,0
44.0,3781,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,3.0,0.997,1,100,0.0024752475247524753,9.81925,0.0,0.0625,0.0,12.0,120000.0,0.0,0.0,3.0,0.99,0
45.0,2882,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.996,0,0,0.0024752475247524753,9.798732916666667,0.0,0.061262485539602916,12.5,12.0,120000.0,20000.0,2.0,0.0,0.988,0
46.0,3782,0.0,0.06793478260869565,0.0,12.0,120000.0,0.0,0.0,3.0,0.995,1,100,0.0024752475247524753,9.8194,0.0,0.1201923076923077,0.0,12.0,120000.0,0.0,0.0,3.0,0.988,0
47.0,2883,0.0,0.06648936170212766,12.5,12.0,120000.0,20000.0,2.0,0.0,0.994,0,0,0.0024752475247524753,9.798582916666668,0.0,0.11790226034667792,12.5,12.0,120000.0,20000.0,2.0,0.0,0.985,0
49.0,2884,0.0,0.06377551020408163,25.0,12.0,120000.0,20000.0,3.0,0.0,0.991,2,100,0.0024752475247524753,9.82415,0.0,0.17045454545454544,12.5,12.0,120000.0,20000.0,2.0,0.0,0.983,0
