time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1.0,1,100,0.0024752475247524753,9.901833333333334,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,6.0,0.97,0
39.0,7020,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.99,1,100,0.0024752475247524753,9.899333333333333,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.92,0
41.0,5670,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.97,1,100,0.0024752475247524753,9.895333333333333,0.0,0.06944444444444445,12.5,12.0,120000.0,20000.0,2.0,2.0,0.84,0
39.0,5221,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,0.99,0,0,0.0024752475247524753,9.792,0.0,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,6.0,0.84,0
42.0,1351,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,6.0,0.93,1,19,0.0024752475247524753,9.8085,0.10869565217391304,0.1358695652173913,0.0,8.0,80000.0,0.0,0.0,6.0,0.77,0
41.0,7021,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.97,1,100,0.0024752475247524753,9.8065,0.10638297872340426,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,5.0,0.73,0
41.0,5222,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,6.0,0.97,3,37,0.0024752475247524753,9.761833333333334,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,20000.0,1.0,6.0,0.67,0
43.0,5223,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,7.0,0.92,2,100,0.0024752475247524753,9.845666666666666,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,20000.0,1.0,6.0,0.68,0
41.0,7920,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.97,3,100,0.0024752475247524753,9.717666666666666,0.30612244897959184,0.38265306122448983,12.5,12.0,120000.0,20000.0,2.0,5.0,0.62,0
43.0,7022,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.92,2,100,0.0024752475247524753,9.801499999999999,0.30612244897959184,0.38265306122448983,0.0,12.0,120000.0,20000.0,1.0,4.0,0.63,0
43.0,5671,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.92,1,100,0.0024752475247524753,9.801499999999999,0.30612244897959184,0.38265306122448983,0.0,12.0,120000.0,20000.0,1.0,2.0,0.63,0
43.0,7921,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0.92,0,0,0.0024752475247524753,9.78125,0.30612244897959184,0.38265306122448983,12.5,12.0,120000.0,20000.0,2.0,5.0,0.63,0
43.0,7470,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,0.92,3,100,0.0024752475247524753,9.754833333333334,0.4,0.5,0.0,12.0,120000.0,20000.0,1.0,2.0,0.53,0
45.0,5672,0.0,0.06944444444444445,12.5,12.0,120000.0,20000.0,2.0,2.0,0.84,1,100,0.0024752475247524753,9.838666666666665,0.4,0.5,0.0,12.0,120000.0,20000.0,1.0,2.0,0.54,0
45.0,5224,0.0,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,6.0,0.84,1,100,0.0024752475247524753,9.79425,0.49019607843137253,0.5514705882352942,0.0,12.0,120000.0,20000.0,2.0,6.0,0.49,0
44.0,11970,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.87,3,100,0.0024752475247524753,9.753333333333334,0.49019607843137253,0.5514705882352942,0.0,12.0,120000.0,0.0,0.0,1.0,0.5,0
46.0,8821,0.10869565217391304,0.1358695652173913,0.0,12.0,120000.0,0.0,0.0,2.0,0.77,2,100,0.0024752475247524753,9.837166666666665,0.49019607843137253,0.5514705882352942,0.0,12.0,120000.0,0.0,0.0,2.0,0.51,0
45.0,7023,0.0,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,5.0,0.84,3,100,0.0024752475247524753,9.796,0.49019607843137253,0.5514705882352942,0.0,12.0,120000.0,20000.0,1.0,4.0,0.52,0
45.0,7922,0.0,0.06944444444444445,12.5,12.0,120000.0,20000.0,2.0,5.0,0.84,0,0,0.0024752475247524753,9.772082916666667,0.49009988431682333,0.5513623698564263,0.0,12.0,120000.0,20000.0,1.0,5.0,0.45,0
46.0,11971,0.10869565217391304,0.1358695652173913,0.0,12.0,120000.0,0.0,0.0,1.0,0.77,2,100,0.0024752475247524753,9.792,0.4807692307692308,0.5408653846153846,0.0,12.0,120000.0,0.0,0.0,1.0,0.44,0
46.0,1353,0.10869565217391304,0.1358695652173913,0.0,8.0,80000.0,0.0,0.0,6.0,0.77,1,100,0.0024752475247524753,9.667250000000001,0.4807692307692308,0.5408653846153846,0.0,8.0,80000.0,0.0,0.0,6.0,0.45,0
44.0,8820,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,2.0,0.87,1,100,0.0024752475247524753,9.709666666666665,0.4807692307692308,0.5408653846153846,0.0,12.0,120000.0,0.0,0.0,2.0,0.46,0
47.0,7024,0.10638297872340426,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,5.0,0.73,2,100,0.0024752475247524753,9.835166666666666,0.4807692307692308,0.5408653846153846,0.0,12.0,120000.0,20000.0,1.0,4.0,0.47,0
47.0,5225,0.10638297872340426,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,6.0,0.73,1,100,0.0024752475247524753,9.788,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,2.0,6.0,0.36,0
49.0,5226,0.30612244897959184,0.38265306122448983,0.0,12.0,120000.0,20000.0,1.0,6.0,0.63,1,100,0.0024752475247524753,9.871833333333333,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,2.0,6.0,0.37,0
47.0,7472,0.10638297872340426,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,2.0,0.73,2,100,0.0024752475247524753,9.789,0.5660377358490566,0.6485849056603774,12.5,12.0,120000.0,20000.0,2.0,2.0,0.38,0
48.0,1354,0.20833333333333334,0.26041666666666663,0.0,8.0,80000.0,0.0,0.0,6.0,0.68,1,100,0.0024752475247524753,9.727,0.5660377358490566,0.6485849056603774,0.0,8.0,80000.0,0.0,0.0,6.0,0.39,0
48.0,11972,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,1.0,0.68,2,100,0.0024752475247524753,9.786,0.6481481481481481,0.636574074074074,0.0,12.0,120000.0,0.0,0.0,1.0,0.32,0
45.0,7471,0.0,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,2.0,0.84,1,100,0.0024752475247524753,9.6615,0.6481481481481481,0.636574074074074,12.5,12.0,120000.0,20000.0,2.0,2.0,0.33,0
48.0,8822,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,2.0,0.68,2,100,0.0024752475247524753,9.786999999999999,0.6481481481481481,0.636574074074074,0.0,12.0,120000.0,0.0,0.0,2.0,0.34,0
49.0,7473,0.30612244897959184,0.38265306122448983,0.0,12.0,120000.0,20000.0,1.0,2.0,0.63,2,100,0.0024752475247524753,9.829166666666666,0.6481481481481481,0.636574074074074,12.5,12.0,120000.0,20000.0,2.0,2.0,0.35,0
