time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1.0,2,100,0.0024752475247524753,9.902333333333333,0.0,0.07621951219512195,12.5,12.0,120000.0,20000.0,2.0,6.0,0.98,0
40.0,1350,0.0,0.078125,0.0,8.0,80000.0,0.0,0.0,6.0,0.99,1,100,0.0024752475247524753,9.814,0.0,0.07102272727272728,0.0,8.0,80000.0,0.0,0.0,6.0,0.88,0
41.0,7920,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.98,1,100,0.0024752475247524753,9.895833333333334,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,0.85,0
39.0,5221,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,6.0,0.99,0,0,0.0024752475247524753,9.7925,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,6.0,0.85,0
39.0,7020,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,5.0,0.99,0,0,0.0024752475247524753,9.7925,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,2.0,5.0,0.85,0
42.0,1351,0.0,0.0744047619047619,0.0,8.0,80000.0,0.0,0.0,6.0,0.95,1,100,0.0024752475247524753,9.80975,0.10869565217391304,0.1358695652173913,0.0,8.0,80000.0,0.0,0.0,6.0,0.8,0
41.0,7021,0.0,0.07621951219512195,12.5,12.0,120000.0,20000.0,2.0,5.0,0.98,3,100,0.0024752475247524753,9.8065,0.2127659574468085,0.19946808510638298,12.5,12.0,120000.0,20000.0,2.0,5.0,0.73,0
43.0,7022,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,5.0,0.94,1,100,0.0024752475247524753,9.890333333333334,0.2127659574468085,0.19946808510638298,12.5,12.0,120000.0,20000.0,2.0,5.0,0.74,0
41.0,5670,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0.98,0,0,0.0024752475247524753,9.787,0.2127659574468085,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,2.0,0.74,0
43.0,5223,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,7.0,0.94,1,100,0.0024752475247524753,9.846166666666665,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,20000.0,1.0,6.0,0.69,0
43.0,5671,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,2.0,0.94,2,100,0.0024752475247524753,9.846666666666666,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,20000.0,1.0,2.0,0.7,0
41.0,5222,0.0,0.07621951219512195,12.5,12.0,120000.0,20000.0,2.0,6.0,0.98,3,100,0.0024752475247524753,9.719666666666665,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,6.0,0.66,0
44.0,1352,0.0,0.07102272727272728,0.0,8.0,80000.0,0.0,0.0,6.0,0.88,1,67,0.0024752475247524753,9.741,0.20408163265306123,0.31887755102040816,0.0,8.0,80000.0,0.0,0.0,6.0,0.67,0
43.0,7470,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.94,0,0,0.0024752475247524753,9.7835,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,2.0,0.67,0
45.0,5224,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,6.0,0.85,3,100,0.0024752475247524753,9.841166666666666,0.3,0.375,0.0,12.0,120000.0,20000.0,1.0,6.0,0.59,0
46.0,11971,0.10869565217391304,0.1358695652173913,0.0,12.0,120000.0,0.0,0.0,1.0,0.8,2,100,0.0024752475247524753,9.838166666666666,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,0.0,0.0,1.0,0.53,0
45.0,7922,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,0.85,2,100,0.0024752475247524753,9.796999999999999,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,20000.0,1.0,5.0,0.54,0
44.0,11970,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,0.88,3,100,0.0024752475247524753,9.755833333333333,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,0.0,0.0,1.0,0.55,0
45.0,7023,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,0.85,0,0,0.0024752475247524753,9.773582916666665,0.49009988431682333,0.4900998843168233,0.0,12.0,120000.0,20000.0,1.0,4.0,0.48,0
47.0,5225,0.2127659574468085,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,6.0,0.74,1,100,0.0024752475247524753,9.835166666666666,0.576923076923077,0.5408653846153846,12.5,12.0,120000.0,20000.0,2.0,6.0,0.47,0
47.0,7024,0.2127659574468085,0.19946808510638298,12.5,12.0,120000.0,20000.0,2.0,5.0,0.74,2,100,0.0024752475247524753,9.835666666666665,0.576923076923077,0.5408653846153846,0.0,12.0,120000.0,20000.0,1.0,4.0,0.48,0
48.0,1354,0.20833333333333334,0.26041666666666663,0.0,8.0,80000.0,0.0,0.0,6.0,0.7,1,100,0.0024752475247524753,9.7945,0.576923076923077,0.5408653846153846,0.0,8.0,80000.0,0.0,0.0,6.0,0.49,0
46.0,8821,0.10869565217391304,0.1358695652173913,0.0,12.0,120000.0,0.0,0.0,2.0,0.8,3,100,0.0024752475247524753,9.748833333333334,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,0.0,0.0,2.0,0.41,0
44.0,8820,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,2.0,0.88,1,67,0.0024752475247524753,9.666,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,0.0,0.0,2.0,0.42,0
45.0,7471,0.0,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,2.0,0.85,1,100,0.0024752475247524753,9.707916666666666,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,2.0,2.0,0.43,0
47.0,7472,0.2127659574468085,0.19946808510638298,12.5,12.0,120000.0,20000.0,2.0,2.0,0.74,2,100,0.0024752475247524753,9.792,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,2.0,2.0,0.44,0
49.0,7924,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,5.0,0.67,1,100,0.0024752475247524753,9.828666666666665,0.7407407407407408,0.8101851851851851,12.5,12.0,120000.0,20000.0,2.0,5.0,0.34,0
47.0,5673,0.2127659574468085,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,2.0,0.74,2,100,0.0024752475247524753,9.745833333333334,0.7407407407407408,0.8101851851851851,12.5,12.0,120000.0,20000.0,2.0,2.0,0.35,0
49.0,2250,0.20408163265306123,0.31887755102040816,0.0,8.0,80000.0,0.0,0.0,5.0,0.67,1,100,0.0024752475247524753,9.7255,0.7407407407407408,0.8101851851851851,0.0,8.0,80000.0,0.0,0.0,5.0,0.36,0
49.0,5226,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,6.0,0.67,3,100,0.0024752475247524753,9.830166666666665,0.7407407407407408,0.8101851851851851,25.0,12.0,120000.0,20000.0,3.0,6.0,0.37,0
43.0,7921,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.94,1,13,0.0024752475247524753,9.53575,0.8181818181818182,0.7954545454545455,12.5,12.0,120000.0,20000.0,2.0,4.0,0.32,0
49.0,7025,0.20408163265306123,0.31887755102040816,12.5,12.0,120000.0,20000.0,2.0,4.0,0.67,2,100,0.0024752475247524753,9.7865,0.8181818181818182,0.7954545454545455,0.0,12.0,120000.0,20000.0,1.0,4.0,0.33,0
49.0,7473,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,2.0,0.67,2,100,0.0024752475247524753,9.786999999999999,0.8181818181818182,0.7954545454545455,0.0,12.0,120000.0,20000.0,2.0,3.0,0.34,0
49.0,5674,0.20408163265306123,0.31887755102040816,0.0,12.0,120000.0,20000.0,1.0,2.0,0.67,0,0,0.0024752475247524753,9.767,0.8181818181818182,0.7954545454545455,0.0,12.0,120000.0,20000.0,1.0,2.0,0.34,0
45.0,5672,0.0,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,2.0,0.85,3,100,0.0024752475247524753,9.572166666666666,0.9821428571428571,0.8370535714285714,0.0,12.0,120000.0,20000.0,1.0,2.0,0.21,0
47.0,7923,0.2127659574468085,0.19946808510638298,0.0,12.0,120000.0,20000.0,1.0,5.0,0.74,3,100,0.0024752475247524753,9.655999999999999,0.9821428571428571,0.8370535714285714,12.5,12.0,120000.0,20000.0,2.0,4.0,0.22,0
52.0,11974,0.576923076923077,0.5408653846153846,0.0,12.0,120000.0,0.0,0.0,1.0,0.49,2,100,0.0024752475247524753,9.864833333333333,0.9821428571428571,0.8370535714285714,0.0,12.0,120000.0,0.0,0.0,1.0,0.23,0
51.0,7026,0.49019607843137253,0.4901960784313726,12.5,12.0,120000.0,20000.0,2.0,4.0,0.55,2,100,0.0024752475247524753,9.823666666666666,0.9821428571428571,0.8370535714285714,0.0,12.0,120000.0,20000.0,2.0,4.0,0.24,0
51.0,5675,0.49019607843137253,0.4901960784313726,12.5,12.0,120000.0,20000.0,2.0,2.0,0.55,3,100,0.0024752475247524753,9.824166666666665,0.9821428571428571,0.8370535714285714,0.0,12.0,120000.0,20000.0,1.0,2.0,0.25,0
50.0,8823,0.3,0.375,0.0,12.0,120000.0,0.0,0.0,2.0,0.59,3,100,0.0024752475247524753,9.737333333333334,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,0.0,0.0,2.0,0.18,0
48.0,8822,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,2.0,0.7,1,100,0.0024752475247524753,9.654499999999999,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,0.0,0.0,2.0,0.19,0
50.0,11973,0.3,0.375,0.0,12.0,120000.0,0.0,0.0,1.0,0.59,3,100,0.0024752475247524753,9.738333333333333,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,0.0,0.0,0.0,0.2,0
52.0,8824,0.576923076923077,0.5408653846153846,0.0,12.0,120000.0,0.0,0.0,2.0,0.49,2,100,0.0024752475247524753,9.822166666666666,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,0.0,0.0,2.0,0.21,0
48.0,11972,0.20833333333333334,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,1.0,0.7,1,100,0.0024752475247524753,9.65575,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,0.0,0.0,0.0,0.22,0
51.0,5227,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,20000.0,1.0,6.0,0.55,0,0,0.0024752475247524753,9.76075,0.9649122807017544,0.8771929824561403,12.5,12.0,120000.0,20000.0,2.0,6.0,0.22,0
51.0,7925,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,20000.0,1.0,5.0,0.55,0,0,0.0024752475247524753,9.761,0.9649122807017544,0.8771929824561403,0.0,12.0,120000.0,20000.0,1.0,4.0,0.22,0
52.0,1356,0.576923076923077,0.5408653846153846,0.0,8.0,80000.0,0.0,0.0,6.0,0.49,1,100,0.0024752475247524753,9.6525,1.0344827586206897,0.9698275862068966,0.0,8.0,80000.0,0.0,0.0,6.0,0.15,0
53.0,5676,0.5660377358490566,0.6485849056603774,12.5,12.0,120000.0,20000.0,2.0,2.0,0.44,2,100,0.0024752475247524753,9.819666666666665,1.0344827586206897,0.9698275862068966,0.0,12.0,120000.0,20000.0,1.0,2.0,0.16,0
53.0,7475,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,2.0,2.0,0.44,3,100,0.0024752475247524753,9.820166666666665,1.0344827586206897,0.9698275862068966,12.5,12.0,120000.0,20000.0,3.0,5.0,0.17,0
51.0,7474,0.49019607843137253,0.4901960784313726,0.0,12.0,120000.0,20000.0,2.0,2.0,0.55,2,100,0.0024752475247524753,9.691666666666666,1.1016949152542372,0.9533898305084747,12.5,12.0,120000.0,20000.0,3.0,5.0,0.1,0
55.0,5677,0.8181818181818182,0.7954545454545455,0.0,12.0,120000.0,20000.0,1.0,2.0,0.34,2,100,0.0024752475247524753,9.858833333333333,1.1016949152542372,0.9533898305084747,0.0,12.0,120000.0,20000.0,1.0,2.0,0.11,0
55.0,7028,0.8181818181818182,0.7954545454545455,0.0,12.0,120000.0,20000.0,2.0,4.0,0.34,1,100,0.0024752475247524753,-5.1466666666666665,1.1016949152542372,0.9533898305084747,12.5,12.0,120000.0,20000.0,3.0,5.0,0.0,1
53.0,5228,0.5660377358490566,0.6485849056603774,12.5,12.0,120000.0,20000.0,2.0,6.0,0.44,0,0,0.0024752475247524753,9.749582916666666,1.101508032281303,0.9532281048588198,0.0,12.0,120000.0,20000.0,1.0,7.0,0.0,0
53.0,7926,0.5660377358490566,0.6485849056603774,12.5,12.0,120000.0,20000.0,2.0,5.0,0.44,3,100,0.0024752475247524753,-5.270000416666667,1.2508336806481521,0.9381252604861141,0.0,12.0,120000.0,20000.0,1.0,3.0,0.0,1
55.0,5229,0.8181818181818182,0.7954545454545455,25.0,12.0,120000.0,20000.0,3.0,6.0,0.34,3,100,0.0024752475247524753,-5.181667083333332,1.2508336806481521,0.9381252604861141,0.0,12.0,120000.0,20000.0,1.0,7.0,0.0,1
53.0,7027,0.5660377358490566,0.6485849056603774,0.0,12.0,120000.0,20000.0,1.0,4.0,0.44,3,100,0.0024752475247524753,9.728833333333334,1.25,0.9895833333333334,12.5,12.0,120000.0,20000.0,3.0,5.0,0.01,0
56.0,11976,0.9821428571428571,0.8370535714285714,0.0,12.0,120000.0,0.0,0.0,1.0,0.25,2,100,0.0024752475247524753,9.854333333333333,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,0.0,0.02,0
60.0,8828,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,2.0,0.02,1,100,0.0024752475247524753,-4.98,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,2.0,0.0,1
60.0,9721,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,2.0,0.02,3,100,0.0024752475247524753,-4.98,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,2.0,0.0,1
60.0,11978,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,0.0,0.02,3,100,0.0024752475247524753,-4.98,1.25,0.9895833333333334,0.0,12.0,120000.0,0.0,0.0,0.0,0.0,1
55.0,7927,0.8181818181818182,0.7954545454545455,12.5,12.0,120000.0,20000.0,2.0,4.0,0.34,2,100,0.0024752475247524753,-5.188333333333334,1.25,0.9895833333333334,0.0,12.0,120000.0,20000.0,1.0,3.0,0.0,1
