time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
37.0,10500,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,9.0,3,0.3333333333333333,0.875,0.125,0.078125,0.0,12.0,120000.0,0.0,0.0,8.0,0
39.0,9501,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,5.0,3,0.25,0.9166666666666666,0.24390243902439024,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,4.0,0
37.0,9500,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,2,0.25,0.7916666666666666,0.35714285714285715,0.0744047619047619,0.0,12.0,120000.0,20000.0,1.0,4.0,0
41.0,9502,0.24390243902439024,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,4.0,3,0.25,0.9166666666666666,0.46511627906976744,0.12112403100775193,0.0,12.0,120000.0,20000.0,1.0,4.0,0
39.0,10501,0.0,0.08012820512820512,0.0,12.0,120000.0,0.0,0.0,9.0,3,0.3333333333333333,0.75,0.7777777777777778,0.16203703703703703,0.0,12.0,120000.0,0.0,0.0,8.0,0
41.0,2250,0.24390243902439024,0.07621951219512195,0.0,8.0,80000.0,0.0,0.0,4.0,2,0.3333333333333333,0.75,0.7777777777777778,0.16203703703703703,0.0,8.0,80000.0,0.0,0.0,4.0,0
43.0,11251,0.46511627906976744,0.12112403100775193,0.0,12.0,120000.0,0.0,0.0,7.0,3,0.3333333333333333,0.9166666666666666,0.7777777777777778,0.16203703703703703,0.0,12.0,120000.0,0.0,0.0,7.0,0
43.0,9503,0.46511627906976744,0.12112403100775193,0.0,12.0,120000.0,20000.0,1.0,4.0,3,0.25,0.875,0.8695652173913043,0.4755434782608696,0.0,12.0,120000.0,20000.0,1.0,4.0,0
43.0,1750,0.46511627906976744,0.12112403100775193,0.0,8.0,80000.0,20000.0,1.0,8.0,2,0.25,0.8125,0.8695652173913043,0.4755434782608696,0.0,8.0,80000.0,20000.0,1.0,8.0,0
43.0,13251,0.46511627906976744,0.12112403100775193,0.0,12.0,120000.0,0.0,0.0,9.0,3,0.3333333333333333,0.8333333333333334,0.9574468085106382,0.5319148936170213,0.0,12.0,120000.0,0.0,0.0,9.0,0
41.0,10502,0.24390243902439024,0.07621951219512195,0.0,12.0,120000.0,0.0,0.0,8.0,1,0.3333333333333333,0.75,0.9574468085106382,0.5319148936170213,0.0,12.0,120000.0,0.0,0.0,8.0,0
41.0,11250,0.24390243902439024,0.07621951219512195,0.0,12.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.7083333333333333,0.9375,0.6293402777777777,0.0,12.0,120000.0,0.0,0.0,7.0,0
45.0,1751,0.7777777777777778,0.16203703703703703,0.0,8.0,80000.0,20000.0,1.0,8.0,2,0.25,0.8125,0.9375,0.6293402777777777,0.0,8.0,80000.0,20000.0,2.0,8.0,0
42.0,8000,0.35714285714285715,0.0744047619047619,0.0,12.0,120000.0,20000.0,1.0,4.0,0,0.25,0.75,0.9375,0.6293402777777777,0.0,12.0,120000.0,20000.0,1.0,5.0,0
