time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb_ratio,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
47.0,2161,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.999,3,0.0,1.0,-4.9300500000000005,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.999,1
51.0,2163,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,2,0.0,1.0,-4.93015,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,1
46.0,810,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,0.999,0,0.0,1.0,9.7996,0.0,0.0,12.5,12.0,120000.0,20000.0,3.0,0.0,0.997,0
53.0,2164,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,3,0.0,1.0,-4.93015,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.997,1
50.0,812,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.997,0,0.0,1.0,9.799032916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.994,0
52.0,813,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.997,0,0.0,1.0,9.798982916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.993,0
58.0,816,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.993,0,0.0,1.0,9.798532916666666,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.989,0
65.0,2170,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.989,2,0.0,1.0,-4.9306,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.988,1
60.0,817,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.992,0,0.0,1.0,9.798682916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.987,0
45.0,2160,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,2,0.5038347840309143,1.0,-3.93075,0.0,0.04528985507246377,0.0,12.0,120000.0,0.0,0.0,0.0,0.985,1
69.0,2,0.0,0.04528985507246377,0.0,8.0,80000.0,0.0,0.0,1.0,0.985,1,0.0,1.0,-4.930750000000001,0.0,0.04528985507246377,0.0,8.0,80000.0,0.0,0.0,1.0,0.985,1
69.0,2172,0.0,0.04528985507246377,0.0,12.0,120000.0,0.0,0.0,0.0,0.985,2,0.0,1.0,-4.9308000000000005,0.0,0.04528985507246377,0.0,12.0,120000.0,0.0,0.0,0.0,0.984,1
64.0,819,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.989,0,0.0,1.0,9.798432916666666,0.0,0.04463647412705698,12.5,12.0,120000.0,20000.0,2.0,0.0,0.982,0
69.0,1710,0.0,0.04528985507246377,0.0,12.0,120000.0,0.0,0.0,1.0,0.985,1,0.24640925228595734,1.0,9.902283333333333,0.0,0.08561643835616438,0.0,12.0,120000.0,0.0,0.0,1.0,0.979,0
73.0,2174,0.0,0.08561643835616438,0.0,12.0,120000.0,0.0,0.0,0.0,0.979,2,0.0,1.0,-4.931150000000001,0.0,0.08561643835616438,0.0,12.0,120000.0,0.0,0.0,0.0,0.977,1
68.0,1260,0.0,0.04595588235294117,0.0,12.0,120000.0,20000.0,1.0,0.0,0.985,0,0.0,1.0,9.7986,0.0,0.08445945945945946,12.5,12.0,120000.0,20000.0,2.0,0.0,0.977,0
68.0,821,0.0,0.04595588235294117,12.5,12.0,120000.0,20000.0,2.0,0.0,0.985,0,0.0,1.0,9.798032916666667,0.0,0.08444803615078555,12.5,12.0,120000.0,20000.0,2.0,0.0,0.974,0
70.0,1261,0.0,0.044642857142857144,12.5,12.0,120000.0,20000.0,2.0,0.0,0.984,2,0.24640925228595734,1.0,9.860416666666666,0.0,0.08333333333333334,12.5,12.0,120000.0,20000.0,2.0,0.0,0.975,0
75.0,2175,0.0,0.08333333333333334,0.0,12.0,120000.0,0.0,0.0,0.0,0.975,2,0.0,1.0,-4.93135,0.0,0.08333333333333334,0.0,12.0,120000.0,0.0,0.0,0.0,0.973,1
73.0,1712,0.0,0.08561643835616438,0.0,12.0,120000.0,0.0,0.0,1.0,0.979,1,0.552053689956665,1.0,9.901633333333335,0.0,0.12175324675324675,0.0,12.0,120000.0,0.0,0.0,1.0,0.971,0
77.0,1714,0.0,0.12175324675324675,0.0,12.0,120000.0,0.0,0.0,1.0,0.971,1,0.0,1.0,-4.93175,0.0,0.12175324675324675,0.0,12.0,120000.0,0.0,0.0,1.0,0.97,1
72.0,823,0.0,0.08680555555555555,12.5,12.0,120000.0,20000.0,2.0,0.0,0.979,0,0.0,1.0,9.797732916666668,0.0,0.20029480832011176,12.5,12.0,120000.0,20000.0,2.0,0.0,0.968,0
72.0,1262,0.0,0.08680555555555555,12.5,12.0,120000.0,20000.0,2.0,0.0,0.979,0,0.0,1.0,9.797732916666668,0.0,0.20029480832011176,12.5,12.0,120000.0,20000.0,2.0,0.0,0.968,0
65.0,0,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.989,1,0.24640925228595734,1.0,-3.7656089583333325,0.0,0.1994425988883208,0.0,8.0,80000.0,0.0,0.0,1.0,0.967,1
74.0,1263,0.0,0.08445945945945946,12.5,12.0,120000.0,20000.0,2.0,0.0,0.977,2,0.552053689956665,1.0,9.860066666666665,0.0,0.19778481012658228,12.5,12.0,120000.0,20000.0,2.0,0.0,0.968,0
79.0,1715,0.0,0.19778481012658228,0.0,12.0,120000.0,0.0,0.0,1.0,0.968,1,0.0,1.0,-4.93165,0.0,0.19778481012658228,0.0,12.0,120000.0,0.0,0.0,1.0,0.967,1
75.0,1713,0.0,0.08333333333333334,0.0,12.0,120000.0,0.0,0.0,1.0,0.975,1,0.10304121673107147,1.0,9.860016666666665,0.0,0.234375,0.0,12.0,120000.0,0.0,0.0,1.0,0.967,0
66.0,820,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.988,2,0.24640925228595734,1.0,-3.5104504166666666,0.0,0.2343456774971032,12.5,12.0,120000.0,20000.0,2.0,0.0,0.966,1
71.0,1711,0.0,0.04401408450704226,0.0,12.0,120000.0,0.0,0.0,1.0,0.982,2,0.24640925228595734,1.0,9.651633333333333,0.0,0.23148148148148145,0.0,12.0,120000.0,0.0,0.0,1.0,0.966,0
70.0,822,0.0,0.044642857142857144,25.0,12.0,120000.0,20000.0,3.0,0.0,0.984,2,0.24640925228595734,1.0,-3.4273670833333334,0.0,0.2286306269198114,12.5,12.0,120000.0,20000.0,2.0,0.0,0.961,1
78.0,826,0.0,0.2003205128205128,12.5,12.0,120000.0,20000.0,2.0,0.0,0.969,0,0.0,1.0,9.797132916666667,0.0,0.33478153377198744,12.5,12.0,120000.0,20000.0,2.0,0.0,0.956,0
78.0,1265,0.0,0.2003205128205128,12.5,12.0,120000.0,20000.0,2.0,0.0,0.969,0,0.0,1.0,9.796632916666667,0.0,0.33478153377198744,37.5,12.0,120000.0,20000.0,4.0,0.0,0.956,0
81.0,1716,0.0,0.23148148148148145,0.0,12.0,120000.0,0.0,0.0,1.0,0.966,1,0.8533231616020203,1.0,9.900933333333334,0.0,0.33088235294117646,0.0,12.0,120000.0,0.0,0.0,1.0,0.957,0
85.0,1718,0.0,0.33088235294117646,0.0,12.0,120000.0,0.0,0.0,1.0,0.957,1,0.0,1.0,-4.93245,0.0,0.33088235294117646,0.0,12.0,120000.0,0.0,0.0,1.0,0.956,1
85.0,2180,0.0,0.33088235294117646,0.0,12.0,120000.0,0.0,0.0,0.0,0.957,3,0.0,1.0,-4.9322,0.0,0.33088235294117646,0.0,12.0,120000.0,0.0,0.0,0.0,0.956,1
74.0,824,0.0,0.08445945945945946,25.0,12.0,120000.0,20000.0,3.0,0.0,0.977,2,0.552053689956665,1.0,9.572750000000001,0.0,0.32703488372093026,12.5,12.0,120000.0,20000.0,2.0,0.0,0.955,0
80.0,1266,0.0,0.234375,12.5,12.0,120000.0,20000.0,2.0,0.0,0.967,0,0.0,1.0,9.796732916666667,0.0,0.3269968228116705,25.0,12.0,120000.0,20000.0,3.0,0.0,0.953,0
73.0,4,0.0,0.08561643835616438,0.0,8.0,80000.0,0.0,0.0,1.0,0.979,1,0.552053689956665,1.0,-3.7664089583333324,0.0,0.325734433185218,0.0,8.0,80000.0,0.0,0.0,1.0,0.951,1
80.0,827,0.0,0.234375,12.5,12.0,120000.0,20000.0,2.0,0.0,0.967,2,0.9018832445144653,1.0,9.775933333333333,0.0,0.3232758620689655,12.5,12.0,120000.0,20000.0,2.0,0.0,0.952,0
76.0,825,0.0,0.12335526315789473,12.5,12.0,120000.0,20000.0,2.0,0.0,0.973,2,0.10304121673107147,1.0,9.609316666666667,0.0,0.3232758620689655,12.5,12.0,120000.0,20000.0,2.0,0.0,0.953,0
83.0,1717,0.0,0.30120481927710846,0.0,12.0,120000.0,0.0,0.0,1.0,0.961,1,1.0,1.0,9.859166666666665,0.0,0.31960227272727276,0.0,12.0,120000.0,0.0,0.0,1.0,0.95,0
82.0,1267,0.0,0.22865853658536583,25.0,12.0,120000.0,20000.0,3.0,0.0,0.962,0,0.0,1.0,9.796582916666665,0.0,0.3195659221036335,25.0,12.0,120000.0,20000.0,3.0,0.0,0.95,0
89.0,2182,0.05617977528089888,0.35112359550561795,0.0,12.0,120000.0,0.0,0.0,0.0,0.95,3,0.0,1.0,-4.932600000000001,0.05617977528089888,0.35112359550561795,0.0,12.0,120000.0,0.0,0.0,0.0,0.948,1
48.0,811,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.999,3,0.5038347840309143,1.0,-3.9326,0.055673081430455254,0.34795675894034533,25.0,12.0,120000.0,20000.0,3.0,0.0,0.948,1
84.0,829,0.0,0.33482142857142855,12.5,12.0,120000.0,20000.0,2.0,0.0,0.958,0,0.0,1.0,9.796432916666665,0.11109875446075387,0.3819019684588414,25.0,12.0,120000.0,20000.0,3.0,0.0,0.947,0
84.0,1268,0.0,0.33482142857142855,37.5,12.0,120000.0,20000.0,4.0,0.0,0.958,0,0.0,1.0,9.796432916666665,0.11109875446075387,0.3819019684588414,25.0,12.0,120000.0,20000.0,3.0,0.0,0.947,0
77.0,6,0.0,0.12175324675324675,0.0,8.0,80000.0,0.0,0.0,1.0,0.971,1,1.0,1.0,-3.766608958333333,0.11068884138041826,0.3804928922451878,0.0,8.0,80000.0,0.0,0.0,1.0,0.947,1
49.0,2162,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.998,3,0.5038347840309143,1.0,-3.93265,0.11012001870718881,0.37853756430596147,0.0,12.0,120000.0,0.0,0.0,0.0,0.947,1
87.0,1719,0.0,0.3232758620689655,0.0,12.0,120000.0,0.0,0.0,1.0,0.953,1,1.0,1.0,9.900483333333334,0.10989010989010989,0.37774725274725274,0.0,12.0,120000.0,0.0,0.0,1.0,0.948,0
67.0,2171,0.0,0.046641791044776115,0.0,12.0,120000.0,0.0,0.0,0.0,0.987,2,0.24640925228595734,1.0,-3.9326,0.10989010989010989,0.37774725274725274,0.0,12.0,120000.0,0.0,0.0,0.0,0.948,1
91.0,2183,0.10989010989010989,0.37774725274725274,0.0,12.0,120000.0,0.0,0.0,0.0,0.948,2,0.0,1.0,-4.9327000000000005,0.10989010989010989,0.37774725274725274,0.0,12.0,120000.0,0.0,0.0,0.0,0.946,1
79.0,2177,0.0,0.19778481012658228,0.0,12.0,120000.0,0.0,0.0,0.0,0.968,2,0.9018832445144653,1.0,-3.4743666666666666,0.10869565217391304,0.37364130434782605,0.0,12.0,120000.0,0.0,0.0,0.0,0.946,1
72.0,450,0.0,0.08680555555555555,0.0,25.0,400000.0,20000.0,1.0,1.0,0.979,0,0.0,1.0,9.64655,0.10869565217391304,0.37364130434782605,37.5,25.0,400000.0,20000.0,4.0,1.0,0.946,0
92.0,833,0.10869565217391304,0.37364130434782605,25.0,12.0,120000.0,20000.0,3.0,0.0,0.946,3,0.0,1.0,-4.9277,0.10869565217391304,0.37364130434782605,25.0,12.0,120000.0,20000.0,3.0,0.0,0.946,1
