time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,s_next9,done
39.0,7020,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,1.0,1.0,2,83,0.0024752475247524753,9.868833333333333,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.31,0.8,0
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1.0,1.0,0,0,0.0024752475247524753,9.76525,0.11627906976744186,0.07267441860465117,12.5,12.0,120000.0,20000.0,3.0,7.0,0.31,0.8,0
43.0,7022,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.31,0.8,3,45,0.0024752475247524753,-4.945,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.03,0.7,1
43.0,7470,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.31,0.8,3,43,0.0024752475247524753,-4.945,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.03,0.7,1
43.0,7921,0.11627906976744186,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,5.0,0.31,0.8,1,98,0.0024752475247524753,-4.9785,0.11627906976744186,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,5.0,0.03,0.7,1
41.0,5670,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0.8,1.0,3,59,0.0024752475247524753,-5.068333750000001,0.22747947509566083,0.07108733596739401,0.0,12.0,120000.0,20000.0,1.0,2.0,0.03,0.7,1
41.0,5222,0.0,0.07621951219512195,25.0,12.0,120000.0,20000.0,3.0,6.0,0.8,1.0,3,21,0.0024752475247524753,9.935,0.22727272727272727,0.07102272727272728,25.0,12.0,120000.0,20000.0,3.0,6.0,0.13,0.7,0
44.0,11970,0.22727272727272727,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,0.13,0.7,3,2,0.0024752475247524753,-4.9510000000000005,0.22727272727272727,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,0.01,0.58,1
41.0,7021,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.8,1.0,1,35,0.0024752475247524753,-5.1045,0.22727272727272727,0.07102272727272728,0.0,12.0,120000.0,20000.0,1.0,5.0,0.01,0.58,1
43.0,5671,0.11627906976744186,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.31,0.8,3,30,0.0024752475247524753,-5.032667083333333,0.33362981903251354,0.06950621229844034,0.0,12.0,120000.0,20000.0,1.0,2.0,0.01,0.58,1
45.0,5224,0.33333333333333337,0.06944444444444445,25.0,12.0,120000.0,20000.0,3.0,6.0,0.01,0.58,1,5,0.0024752475247524753,-4.974499999999999,0.33333333333333337,0.06944444444444445,25.0,12.0,120000.0,20000.0,3.0,6.0,0.01,0.58,1
45.0,7922,0.33333333333333337,0.06944444444444445,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1,52,0.0024752475247524753,-4.9795,0.33333333333333337,0.06944444444444445,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1
39.0,5221,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,6.0,1.0,1.0,0,0,0.0024752475247524753,9.749832916666668,0.33325920167536066,0.06942900034903347,12.5,12.0,120000.0,20000.0,2.0,6.0,0.01,0.58,0
44.0,8820,0.22727272727272727,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,2.0,0.13,0.7,3,2,0.0024752475247524753,-5.032667083333333,0.43516091489101066,0.06799389295172042,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,1
46.0,1353,0.43478260869565216,0.11322463768115942,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1,84,0.0024752475247524753,-4.9795,0.43478260869565216,0.11322463768115942,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1
46.0,4141,0.43478260869565216,0.11322463768115942,0.0,25.0,400000.0,0.0,0.0,0.0,0.01,0.58,3,63,0.0024752475247524753,-4.9510000000000005,0.43478260869565216,0.11322463768115942,0.0,25.0,400000.0,0.0,0.0,0.0,0.01,0.58,1
46.0,4861,0.43478260869565216,0.11322463768115942,0.0,25.0,400000.0,0.0,0.0,6.0,0.01,0.58,3,63,0.0024752475247524753,-4.9510000000000005,0.43478260869565216,0.11322463768115942,0.0,25.0,400000.0,0.0,0.0,6.0,0.01,0.58,1
46.0,8821,0.43478260869565216,0.11322463768115942,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,3,63,0.0024752475247524753,-4.9510000000000005,0.43478260869565216,0.11322463768115942,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,1
46.0,11971,0.43478260869565216,0.11322463768115942,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,3,63,0.0024752475247524753,-4.9510000000000005,0.43478260869565216,0.11322463768115942,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,1
41.0,7920,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.8,1.0,0,0,0.0024752475247524753,9.7505,0.425531914893617,0.11081560283687944,0.0,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,0
47.0,5225,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,6.0,0.01,0.58,3,13,0.0024752475247524753,-4.9510000000000005,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,6.0,0.01,0.58,1
47.0,5673,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,3,13,0.0024752475247524753,-4.9510000000000005,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,1
47.0,7024,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1,99,0.0024752475247524753,-4.9795,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1
47.0,7472,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,1,99,0.0024752475247524753,-4.9795,0.425531914893617,0.11081560283687944,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,1
40.0,1350,0.0,0.078125,0.0,8.0,80000.0,0.0,0.0,6.0,0.9,1.0,2,83,0.0024752475247524753,-5.437833333333334,0.42253521126760557,0.11003521126760564,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1
48.0,1354,0.4166666666666667,0.10850694444444445,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,2,99,0.0024752475247524753,-4.9795,0.4166666666666667,0.10850694444444445,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1
48.0,3781,0.4166666666666667,0.10850694444444445,12.5,25.0,400000.0,20000.0,2.0,2.0,0.01,0.58,2,77,0.0024752475247524753,-4.9795,0.4166666666666667,0.10850694444444445,12.5,25.0,400000.0,20000.0,2.0,2.0,0.01,0.58,1
48.0,8822,0.4166666666666667,0.10850694444444445,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,2,77,0.0024752475247524753,-4.9795,0.4166666666666667,0.10850694444444445,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,1
48.0,11972,0.4166666666666667,0.10850694444444445,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,2,77,0.0024752475247524753,-4.9795,0.4166666666666667,0.10850694444444445,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,1
44.0,1352,0.22727272727272727,0.07102272727272728,0.0,8.0,80000.0,0.0,0.0,6.0,0.13,0.7,3,25,0.0024752475247524753,-5.244333958333334,0.479189386803932,0.10696191669730627,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1
49.0,2250,0.4761904761904762,0.10629251700680273,0.0,8.0,80000.0,0.0,0.0,5.0,0.01,0.58,3,25,0.0024752475247524753,-4.9510000000000005,0.4761904761904762,0.10629251700680273,0.0,8.0,80000.0,0.0,0.0,5.0,0.01,0.58,1
49.0,4142,0.4761904761904762,0.10629251700680273,0.0,25.0,400000.0,0.0,0.0,0.0,0.01,0.58,3,25,0.0024752475247524753,-4.9510000000000005,0.4761904761904762,0.10629251700680273,0.0,25.0,400000.0,0.0,0.0,0.0,0.01,0.58,1
49.0,4862,0.4761904761904762,0.10629251700680273,0.0,25.0,400000.0,0.0,0.0,5.0,0.01,0.58,1,93,0.0024752475247524753,-4.9795,0.4761904761904762,0.10629251700680273,0.0,25.0,400000.0,0.0,0.0,5.0,0.01,0.58,1
49.0,5226,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,6.0,0.01,0.58,1,93,0.0024752475247524753,-4.9795,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,6.0,0.01,0.58,1
49.0,7473,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,1,3,0.0024752475247524753,-4.9795,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,1
49.0,7924,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1,3,0.0024752475247524753,-4.9795,0.4761904761904762,0.10629251700680273,12.5,12.0,120000.0,20000.0,2.0,5.0,0.01,0.58,1
43.0,5223,0.11627906976744186,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,7.0,0.31,0.8,0,0,0.0024752475247524753,9.750082916666667,0.47609321714754466,0.10627080739900549,0.0,12.0,120000.0,20000.0,1.0,6.0,0.01,0.58,0
50.0,1355,0.46666666666666673,0.10416666666666667,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1,46,0.0024752475247524753,-4.9795,0.46666666666666673,0.10416666666666667,0.0,8.0,80000.0,0.0,0.0,6.0,0.01,0.58,1
50.0,8823,0.46666666666666673,0.10416666666666667,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,1,46,0.0024752475247524753,-4.9795,0.46666666666666673,0.10416666666666667,0.0,12.0,120000.0,0.0,0.0,2.0,0.01,0.58,1
50.0,11973,0.46666666666666673,0.10416666666666667,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,3,46,0.0024752475247524753,-4.9510000000000005,0.46666666666666673,0.10416666666666667,0.0,12.0,120000.0,0.0,0.0,1.0,0.01,0.58,1
45.0,5672,0.33333333333333337,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,2.0,0.01,0.58,0,0,0.0024752475247524753,9.750250000000001,0.4575163398692811,0.14297385620915032,12.5,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,0
45.0,7023,0.33333333333333337,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,5.0,0.01,0.58,0,0,0.0024752475247524753,9.750250000000001,0.4575163398692811,0.14297385620915032,12.5,12.0,120000.0,20000.0,2.0,4.0,0.01,0.58,0
45.0,7471,0.33333333333333337,0.06944444444444445,0.0,12.0,120000.0,20000.0,1.0,2.0,0.01,0.58,1,52,0.0024752475247524753,9.7705,0.4575163398692811,0.14297385620915032,0.0,12.0,120000.0,20000.0,2.0,2.0,0.01,0.58,0
51.0,2251,0.4575163398692811,0.14297385620915032,0.0,8.0,80000.0,0.0,0.0,5.0,0.01,0.58,3,55,0.0024752475247524753,-4.9510000000000005,0.4575163398692811,0.14297385620915032,0.0,8.0,80000.0,0.0,0.0,5.0,0.01,0.58,1
