time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
47.0,7024,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,5.0,3,3,0.022727272727272728,-4.88,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,5.0,1
47.0,7923,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,5.0,1,4,0.022727272727272728,-4.8,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,5.0,1
44.0,8820,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,2.0,2,6,0.022727272727272728,-4.925,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,0.0,0.0,2.0,1
41.0,5222,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,6.0,0,0,0.022727272727272728,0.9495829166666665,0.17726721039483576,0.13295040779612682,0.0,12.0,120000.0,20000.0,1.0,6.0,0
48.0,1354,0.1736111111111111,0.13020833333333331,0.0,8.0,80000.0,0.0,0.0,6.0,1,5,0.022727272727272728,-4.88,0.1736111111111111,0.13020833333333331,0.0,8.0,80000.0,0.0,0.0,6.0,1
48.0,8822,0.1736111111111111,0.13020833333333331,0.0,12.0,120000.0,0.0,0.0,2.0,2,5,0.022727272727272728,-4.88,0.1736111111111111,0.13020833333333331,0.0,12.0,120000.0,0.0,0.0,2.0,1
48.0,11972,0.1736111111111111,0.13020833333333331,0.0,12.0,120000.0,0.0,0.0,1.0,1,5,0.022727272727272728,-4.88,0.1736111111111111,0.13020833333333331,0.0,12.0,120000.0,0.0,0.0,1.0,1
45.0,5224,0.1851851851851852,0.1388888888888889,25.0,12.0,120000.0,20000.0,3.0,6.0,1,6,0.022727272727272728,-5.005,0.1736111111111111,0.13020833333333331,0.0,12.0,120000.0,20000.0,1.0,6.0,1
47.0,5673,0.1773049645390071,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,2.0,3,3,0.022727272727272728,0.9566666666666667,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,2.0,0
49.0,4142,0.3401360544217687,0.17006802721088435,0.0,25.0,400000.0,0.0,0.0,0.0,3,4,0.022727272727272728,-4.96,0.3401360544217687,0.17006802721088435,0.0,25.0,400000.0,0.0,0.0,0.0,1
49.0,4862,0.3401360544217687,0.17006802721088435,0.0,25.0,400000.0,0.0,0.0,5.0,3,4,0.022727272727272728,-4.96,0.3401360544217687,0.17006802721088435,0.0,25.0,400000.0,0.0,0.0,5.0,1
49.0,5226,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,6.0,3,3,0.022727272727272728,-4.96,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,6.0,1
49.0,5674,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,2.0,3,3,0.022727272727272728,-4.96,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,2.0,1
49.0,7473,0.3401360544217687,0.17006802721088435,12.5,12.0,120000.0,20000.0,2.0,2.0,2,10,0.022727272727272728,-4.84,0.3401360544217687,0.17006802721088435,12.5,12.0,120000.0,20000.0,2.0,2.0,1
49.0,7924,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,5.0,2,10,0.022727272727272728,-4.84,0.3401360544217687,0.17006802721088435,0.0,12.0,120000.0,20000.0,1.0,5.0,1
44.0,1352,0.0,0.07102272727272728,0.0,8.0,80000.0,0.0,0.0,6.0,3,1,0.022727272727272728,0.665,0.33333333333333337,0.16666666666666669,0.0,8.0,80000.0,0.0,0.0,6.0,0
50.0,1355,0.33333333333333337,0.16666666666666669,0.0,8.0,80000.0,0.0,0.0,6.0,2,10,0.022727272727272728,-4.859999999999999,0.33333333333333337,0.16666666666666669,0.0,8.0,80000.0,0.0,0.0,6.0,1
50.0,8823,0.33333333333333337,0.16666666666666669,0.0,12.0,120000.0,0.0,0.0,2.0,2,10,0.022727272727272728,-4.859999999999999,0.33333333333333337,0.16666666666666669,0.0,12.0,120000.0,0.0,0.0,2.0,1
