time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
39.0,5221,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,3,4,0.022727272727272728,-5.0016670833333325,0.1220702826976849,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1
41.0,5670,0.12195121951219512,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,3,4,0.022727272727272728,-4.92,0.12195121951219512,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1
41.0,7021,0.12195121951219512,0.0,12.5,12.0,120000.0,20000.0,2.0,5.0,2,9,0.022727272727272728,-4.8,0.12195121951219512,0.0,12.5,12.0,120000.0,20000.0,2.0,5.0,1
40.0,1350,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,6.0,3,4,0.022727272727272728,-5.025833958333333,0.1998720339289973,0.0,0.0,8.0,80000.0,0.0,0.0,6.0,1
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1,6,0.022727272727272728,0.8716666666666666,0.1984126984126984,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,0
43.0,4860,0.1937984496124031,0.0,0.0,25.0,400000.0,0.0,0.0,6.0,2,9,0.022727272727272728,-4.96,0.1937984496124031,0.0,0.0,25.0,400000.0,0.0,0.0,6.0,1
43.0,5223,0.1937984496124031,0.0,0.0,12.0,120000.0,20000.0,1.0,7.0,2,9,0.022727272727272728,-4.96,0.1937984496124031,0.0,0.0,12.0,120000.0,20000.0,1.0,7.0,1
43.0,5671,0.1937984496124031,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,3,10,0.022727272727272728,-5.0,0.1937984496124031,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1
43.0,7022,0.1937984496124031,0.0,12.5,12.0,120000.0,20000.0,2.0,5.0,3,10,0.022727272727272728,-5.0,0.1937984496124031,0.0,12.5,12.0,120000.0,20000.0,2.0,5.0,1
44.0,8820,0.30303030303030304,0.0,0.0,12.0,120000.0,0.0,0.0,2.0,2,4,0.022727272727272728,-4.82,0.30303030303030304,0.0,0.0,12.0,120000.0,0.0,0.0,2.0,1
44.0,11970,0.30303030303030304,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,2,4,0.022727272727272728,-4.82,0.30303030303030304,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1
43.0,7470,0.1937984496124031,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,3,4,0.022727272727272728,-5.081667083333333,0.4077697788175166,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1
41.0,5222,0.12195121951219512,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,3,4,0.022727272727272728,0.8333333333333334,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,0
39.0,7020,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0,0,0.022727272727272728,0.85,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,0
45.0,5224,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,2,2,0.022727272727272728,-4.82,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1
45.0,5672,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,2,2,0.022727272727272728,-4.82,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1
45.0,7023,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,2,4,0.022727272727272728,-4.82,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,1
45.0,7471,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,2,4,0.022727272727272728,-4.82,0.4074074074074074,0.0,0.0,12.0,120000.0,20000.0,1.0,2.0,1
