time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
41.0,91001,0.0,0.37134146341463414,0.0,10.0,18000.0,25000.0,1.0,0.0,0,0.3333333333333333,0.0,0.3594535443437468,0.3648453475089031,0.0,10.0,18000.0,25000.0,1.0,0.0,0
40.0,91000,0.0,0.375,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.35714285714285715,0.36250000000000004,0.0,10.0,18000.0,25000.0,1.0,0.0,0
43.0,91003,0.3488372093023256,0.35930232558139535,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.33333333333333337,0.3683333333333333,0.0,10.0,18000.0,25000.0,1.0,0.0,0
42.0,91002,0.35714285714285715,0.36250000000000004,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.3358695652173913,0.3701086956521739,0.0,10.0,18000.0,25000.0,1.0,0.0,0
43.0,136001,0.3488372093023256,0.35930232558139535,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.3358695652173913,0.3701086956521739,0.0,10.0,18000.0,0.0,0.0,0.0,0
43.0,109000,0.3488372093023256,0.35930232558139535,0.0,10.0,18000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.3358695652173913,0.3701086956521739,0.0,10.0,18000.0,0.0,0.0,2.0,0
42.0,136000,0.35714285714285715,0.36250000000000004,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.3382978723404255,0.3670212765957447,0.0,10.0,18000.0,0.0,0.0,0.0,0
44.0,91004,0.3409090909090909,0.36647727272727276,0.0,10.0,18000.0,25000.0,1.0,0.0,3,0.3333333333333333,0.0,0.3382978723404255,0.3670212765957447,0.0,10.0,18000.0,25000.0,1.0,0.0,0
45.0,136003,0.33333333333333337,0.3683333333333333,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.3382978723404255,0.3670212765957447,0.0,10.0,18000.0,0.0,0.0,0.0,0
44.0,136002,0.3409090909090909,0.36647727272727276,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.35000000000000003,0.359375,0.0,10.0,18000.0,0.0,0.0,0.0,0
