time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
37.0,20350,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.85,0.0,0.005625,0.0,10.0,18000.0,0.0,0.0,7.0,0
38.0,20351,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.9,0.0,0.005625,0.0,10.0,18000.0,0.0,0.0,7.0,0
40.0,20353,0.0,0.005625,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.9,0.0,0.05178571428571428,0.0,10.0,18000.0,0.0,0.0,6.0,0
39.0,20352,0.0,0.005769230769230769,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.8,0.010465116279069767,0.0505813953488372,0.0,10.0,18000.0,0.0,0.0,6.0,0
41.0,20354,0.0,0.016463414634146342,0.0,10.0,18000.0,0.0,0.0,6.0,3,0.3333333333333333,0.9,0.010465116279069767,0.0505813953488372,0.0,10.0,18000.0,0.0,0.0,6.0,0
40.0,4050,0.0,0.005625,0.0,6.0,120000.0,0.0,0.0,7.0,2,0.3333333333333333,0.5833333333333333,0.02,0.04833333333333333,0.0,6.0,120000.0,0.0,0.0,7.0,0
42.0,28900,0.0,0.05178571428571428,0.0,10.0,18000.0,0.0,0.0,3.0,1,0.3333333333333333,0.85,0.02,0.04833333333333333,0.0,10.0,18000.0,0.0,0.0,4.0,0
42.0,20355,0.0,0.05178571428571428,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.8,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,0.0,0.0,6.0,0
44.0,20357,0.010227272727272727,0.04943181818181818,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.9,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,0.0,0.0,6.0,0
41.0,4051,0.0,0.016463414634146342,0.0,6.0,120000.0,0.0,0.0,7.0,3,0.3333333333333333,0.5833333333333333,0.15978260869565217,0.08478260869565217,0.0,6.0,120000.0,0.0,0.0,6.0,0
46.0,17201,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,25000.0,1.0,1.0,0,0.25,0.9634995,0.23111486601436634,0.08345814606074341,0.0,10.0,18000.0,25000.0,1.0,1.0,0
43.0,20356,0.010465116279069767,0.0505813953488372,0.0,10.0,18000.0,0.0,0.0,6.0,3,0.3333333333333333,0.8,0.2297872340425532,0.08297872340425531,0.0,10.0,18000.0,0.0,0.0,6.0,0
45.0,17200,0.02,0.04833333333333333,0.0,10.0,18000.0,25000.0,1.0,1.0,2,0.25,0.9,0.2297872340425532,0.08297872340425531,0.0,10.0,18000.0,25000.0,1.0,3.0,0
45.0,28903,0.02,0.04833333333333333,0.0,10.0,18000.0,0.0,0.0,4.0,3,0.3333333333333333,0.9,0.2297872340425532,0.08297872340425531,0.0,10.0,18000.0,0.0,0.0,5.0,0
45.0,3153,0.02,0.04833333333333333,0.0,6.0,120000.0,25000.0,1.0,12.0,2,0.25,0.8333333333333334,0.2297872340425532,0.08297872340425531,0.0,6.0,120000.0,25000.0,1.0,13.0,0
43.0,5401,0.010465116279069767,0.0505813953488372,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,0.5833333333333333,0.359375,0.09062500000000001,0.0,6.0,120000.0,0.0,0.0,2.0,0
44.0,28902,0.010227272727272727,0.04943181818181818,0.0,10.0,18000.0,0.0,0.0,3.0,1,0.3333333333333333,0.8,0.359375,0.09062500000000001,0.0,10.0,18000.0,0.0,0.0,5.0,0
46.0,20359,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.89975,0.359375,0.09062500000000001,0.0,10.0,18000.0,0.0,0.0,6.0,0
46.0,28904,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,0.0,0.0,4.0,3,0.3333333333333333,0.9,0.359375,0.09062500000000001,0.0,10.0,18000.0,0.0,0.0,5.0,0
44.0,5402,0.010227272727272727,0.04943181818181818,0.0,6.0,120000.0,0.0,0.0,2.0,3,0.3333333333333333,0.6666666666666667,0.359375,0.09062500000000001,0.0,6.0,120000.0,0.0,0.0,2.0,0
42.0,3150,0.0,0.05178571428571428,0.0,6.0,120000.0,25000.0,1.0,12.0,3,0.25,-3.5575008333333336,0.41589640256800114,0.08934070869979283,12.5,6.0,120000.0,25000.0,2.0,13.0,1
43.0,28901,0.010465116279069767,0.0505813953488372,0.0,10.0,18000.0,0.0,0.0,3.0,3,0.3333333333333333,0.7,0.413265306122449,0.08877551020408163,0.0,10.0,18000.0,0.0,0.0,5.0,0
42.0,4052,0.0,0.05178571428571428,0.0,6.0,120000.0,0.0,0.0,7.0,3,0.3333333333333333,-3.5833333333333335,0.413265306122449,0.08877551020408163,0.0,6.0,120000.0,0.0,0.0,6.0,1
44.0,3152,0.010227272727272727,0.04943181818181818,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.5833333333333333,0.413265306122449,0.08877551020408163,12.5,6.0,120000.0,25000.0,2.0,12.0,0
45.0,20358,0.02,0.04833333333333333,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.7997500000000001,0.413265306122449,0.08877551020408163,0.0,10.0,18000.0,0.0,0.0,6.0,0
46.0,4056,0.15978260869565217,0.08478260869565217,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,0.74975,0.413265306122449,0.08877551020408163,0.0,6.0,120000.0,0.0,0.0,6.0,0
46.0,24400,0.15978260869565217,0.08478260869565217,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.85,0.413265306122449,0.08877551020408163,0.0,10.0,18000.0,0.0,0.0,7.0,0
49.0,17204,0.413265306122449,0.08877551020408163,0.0,10.0,18000.0,25000.0,1.0,3.0,0,0.25,0.9634995,0.4343453781730589,0.08747233310429658,0.0,10.0,18000.0,25000.0,1.0,3.0,0
42.0,5400,0.0,0.05178571428571428,0.0,6.0,120000.0,0.0,0.0,2.0,3,0.3333333333333333,-3.6666666666666665,0.432,0.1515,0.0,6.0,120000.0,0.0,0.0,2.0,1
45.0,4055,0.02,0.04833333333333333,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.5833333333333333,0.432,0.1515,0.0,6.0,120000.0,0.0,0.0,6.0,0
47.0,24401,0.2297872340425532,0.08297872340425531,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.85,0.432,0.1515,0.0,10.0,18000.0,0.0,0.0,7.0,0
