time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
38.0,515000,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,3.0,3,0.25,0.9166666666666666,0.125,0.0,0.0,12.0,120000.0,20000.0,1.0,3.0,0
40.0,515001,0.125,0.0,0.0,12.0,120000.0,20000.0,1.0,3.0,2,0.25,0.8333333333333334,0.11363636363636363,0.4971590909090909,0.0,12.0,120000.0,20000.0,1.0,3.0,0
42.0,25000,0.11904761904761905,0.1488095238095238,0.0,8.0,80000.0,20000.0,1.0,2.0,2,0.25,0.8125,0.1111111111111111,0.4861111111111111,0.0,8.0,80000.0,20000.0,1.0,2.0,0
42.0,515002,0.11904761904761905,0.1488095238095238,0.0,12.0,120000.0,20000.0,1.0,3.0,2,0.25,0.8333333333333334,0.32608695652173914,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,4.0,0
44.0,515003,0.11363636363636363,0.4971590909090909,0.0,12.0,120000.0,20000.0,1.0,3.0,3,0.25,0.9166666666666666,0.32608695652173914,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,4.0,0
41.0,390000,0.12195121951219512,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,2,0.25,0.75,0.425531914893617,0.5540780141843972,0.0,12.0,120000.0,20000.0,1.0,2.0,0
45.0,390002,0.1111111111111111,0.4861111111111111,0.0,12.0,120000.0,20000.0,1.0,2.0,3,0.25,0.9166666666666666,0.425531914893617,0.5540780141843972,0.0,12.0,120000.0,20000.0,1.0,2.0,0
44.0,25001,0.11363636363636363,0.4971590909090909,0.0,8.0,80000.0,20000.0,1.0,2.0,2,0.25,0.75,0.5208333333333333,0.8246527777777778,0.0,8.0,80000.0,20000.0,1.0,2.0,0
43.0,390001,0.11627906976744186,0.26647286821705424,0.0,12.0,120000.0,20000.0,1.0,2.0,3,0.25,0.75,0.6122448979591837,0.8078231292517007,0.0,12.0,120000.0,20000.0,2.0,2.0,0
47.0,390003,0.425531914893617,0.5540780141843972,0.0,12.0,120000.0,20000.0,1.0,2.0,3,0.25,0.9166666666666666,0.6122448979591837,0.8078231292517007,0.0,12.0,120000.0,20000.0,2.0,2.0,0
