time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
38.0,7752,0.0,0.005921052631578947,0.0,10.0,18000.0,25000.0,1.0,2.0,0,0.25,0.0,0.011618897077485908,0.005809448538742954,0.0,10.0,18000.0,25000.0,1.0,2.0,0
36.0,7750,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,2.0,2,0.25,0.0,0.011538461538461537,0.005769230769230769,0.0,10.0,18000.0,25000.0,1.0,2.0,0
39.0,5950,0.011538461538461537,0.005769230769230769,0.0,10.0,18000.0,25000.0,1.0,4.0,0,0.25,0.0,0.011326450710684442,0.005663225355342221,0.0,10.0,18000.0,25000.0,1.0,4.0,0
39.0,6850,0.011538461538461537,0.005769230769230769,0.0,10.0,18000.0,25000.0,1.0,3.0,0,0.25,0.0,0.011326450710684442,0.005663225355342221,0.0,10.0,18000.0,25000.0,1.0,3.0,0
39.0,7753,0.011538461538461537,0.005769230769230769,0.0,10.0,18000.0,25000.0,1.0,2.0,0,0.25,0.0,0.011326450710684442,0.005663225355342221,0.0,10.0,18000.0,25000.0,1.0,2.0,0
37.0,7751,0.0,0.0060810810810810806,0.0,10.0,18000.0,25000.0,1.0,2.0,3,0.25,0.0,0.01125,0.005625,0.0,10.0,18000.0,25000.0,1.0,2.0,0
40.0,5951,0.01125,0.005625,0.0,10.0,18000.0,25000.0,1.0,4.0,0,0.25,0.0,0.011048364584246358,0.005524182292123179,0.0,10.0,18000.0,25000.0,1.0,4.0,0
41.0,5952,0.010975609756097562,0.010975609756097562,0.0,10.0,18000.0,25000.0,1.0,4.0,0,0.25,0.0,0.010783606330312405,0.010783606330312405,0.0,10.0,18000.0,25000.0,1.0,4.0,0
40.0,8651,0.01125,0.005625,0.0,10.0,18000.0,25000.0,1.0,5.0,2,0.25,0.0,0.010714285714285714,0.02142857142857143,0.0,10.0,18000.0,25000.0,1.0,5.0,0
40.0,6851,0.01125,0.005625,0.0,10.0,18000.0,25000.0,1.0,3.0,1,0.25,0.0,0.010714285714285714,0.02142857142857143,0.0,10.0,18000.0,25000.0,1.0,4.0,0
42.0,7756,0.010714285714285714,0.02142857142857143,0.0,10.0,18000.0,25000.0,1.0,1.0,0,0.25,0.0,0.031593720666107966,0.021062480444071975,0.0,10.0,18000.0,25000.0,1.0,1.0,0
42.0,9102,0.010714285714285714,0.02142857142857143,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.031593720666107966,0.021062480444071975,0.0,10.0,18000.0,25000.0,1.0,5.0,0
40.0,10450,0.01125,0.005625,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.031395348837209305,0.02616279069767442,0.0,10.0,18000.0,0.0,0.0,2.0,0
40.0,14500,0.01125,0.005625,0.0,10.0,18000.0,0.0,0.0,4.0,2,0.3333333333333333,0.0,0.031395348837209305,0.02616279069767442,0.0,10.0,18000.0,0.0,0.0,4.0,0
40.0,7754,0.01125,0.005625,0.0,10.0,18000.0,25000.0,1.0,2.0,1,0.25,0.0,0.031395348837209305,0.02616279069767442,0.0,10.0,18000.0,25000.0,1.0,1.0,0
41.0,8652,0.010975609756097562,0.010975609756097562,0.0,10.0,18000.0,25000.0,1.0,5.0,3,0.25,0.0,0.031395348837209305,0.02616279069767442,0.0,10.0,18000.0,25000.0,1.0,5.0,0
