time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb_ratio,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
45.0,2160,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,2,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
47.0,2161,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
49.0,2162,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
46.0,810,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,1.0,0,0.0,1.0,9.79965,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.998,0
48.0,811,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,1.0,0,0.0,1.0,9.799132916666666,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.996,0
55.0,2165,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,3,0.0,1.0,-4.930200000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,1
57.0,2166,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,3,0.0,1.0,-4.930200000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,1
59.0,2167,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,2,0.0,1.0,-4.930200000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,1
54.0,814,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.996,0,0.0,1.0,9.798632916666666,0.0,0.0,37.5,12.0,120000.0,20000.0,4.0,0.0,0.996,0
61.0,2168,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,2,0.0,1.0,-4.930200000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.996,1
56.0,815,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.996,0,0.0,1.0,9.798832916666665,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.995,0
58.0,816,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.996,0,0.0,1.0,9.798982916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.993,0
60.0,817,0.0,0.0,37.5,12.0,120000.0,20000.0,4.0,0.0,0.996,0,0.0,1.0,9.798882916666667,0.0,0.09468260950119536,12.5,12.0,120000.0,20000.0,2.0,0.0,0.991,0
50.0,812,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,1.0,2,0.3596377372741699,1.0,-3.6337833333333336,0.0,0.09328358208955223,12.5,12.0,120000.0,20000.0,2.0,0.0,0.991,1
67.0,1,0.0,0.09328358208955223,0.0,8.0,80000.0,0.0,0.0,1.0,0.991,1,0.0,1.0,-4.93045,0.0,0.09328358208955223,0.0,8.0,80000.0,0.0,0.0,1.0,0.991,1
67.0,2171,0.0,0.09328358208955223,0.0,12.0,120000.0,0.0,0.0,0.0,0.991,2,0.0,1.0,-4.93045,0.0,0.09328358208955223,0.0,12.0,120000.0,0.0,0.0,0.0,0.991,1
