time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,1.0,0,0,0.0024752475247524753,9.7965,0.0,0.07267441860465117,25.0,12.0,120000.0,20000.0,3.0,7.0,0.94,0
39.0,7020,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,5.0,1.0,2,100,0.0024752475247524753,9.856166666666665,0.0,0.07102272727272728,0.0,12.0,120000.0,20000.0,1.0,5.0,0.89,0
41.0,7920,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.98,1,57,0.0024752475247524753,9.895333333333333,0.0,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,5.0,0.84,0
40.0,1350,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,6.0,0.99,1,89,0.0024752475247524753,9.75,0.0,0.1388888888888889,0.0,8.0,80000.0,0.0,0.0,6.0,0.85,0
39.0,5221,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,6.0,1.0,0,0,0.0024752475247524753,9.790332916666667,0.0,0.13885800069806695,12.5,12.0,120000.0,20000.0,2.0,6.0,0.82,0
41.0,5670,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0.98,1,8,0.0024752475247524753,9.853166666666665,0.0,0.1358695652173913,25.0,12.0,120000.0,20000.0,3.0,2.0,0.83,0
41.0,5222,0.0,0.07621951219512195,25.0,12.0,120000.0,20000.0,3.0,6.0,0.98,0,0,0.0024752475247524753,9.786082916666667,0.0,0.13295040779612682,0.0,12.0,120000.0,20000.0,1.0,6.0,0.73,0
43.0,7470,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.94,2,24,0.0024752475247524753,9.847666666666665,0.20833333333333334,0.1953125,25.0,12.0,120000.0,20000.0,3.0,2.0,0.72,0
43.0,5223,0.0,0.07267441860465117,25.0,12.0,120000.0,20000.0,3.0,7.0,0.94,3,25,0.0024752475247524753,9.853166666666667,0.20833333333333334,0.1953125,0.0,12.0,120000.0,20000.0,1.0,6.0,0.73,0
43.0,7022,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.94,3,87,0.0024752475247524753,9.804499999999999,0.40816326530612246,0.25510204081632654,0.0,12.0,120000.0,20000.0,1.0,4.0,0.69,0
43.0,5671,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,0.94,1,89,0.0024752475247524753,9.80425,0.40816326530612246,0.25510204081632654,12.5,12.0,120000.0,20000.0,3.0,2.0,0.69,0
43.0,7921,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,0.94,0,0,0.0024752475247524753,9.7845,0.40816326530612246,0.25510204081632654,0.0,12.0,120000.0,20000.0,2.0,5.0,0.69,0
41.0,7021,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,0.98,3,11,0.0024752475247524753,9.676,0.5,0.25,0.0,12.0,120000.0,20000.0,1.0,4.0,0.62,0
44.0,8820,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,2.0,0.89,3,18,0.0024752475247524753,9.801499999999999,0.5,0.25,0.0,12.0,120000.0,0.0,0.0,2.0,0.63,0
44.0,11970,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,0.89,3,18,0.0024752475247524753,9.802,0.5,0.25,0.0,12.0,120000.0,0.0,0.0,1.0,0.64,0
45.0,5224,0.0,0.1388888888888889,25.0,12.0,120000.0,20000.0,3.0,6.0,0.85,1,86,0.0024752475247524753,9.8055,0.49019607843137253,0.3063725490196078,0.0,12.0,120000.0,20000.0,1.0,6.0,0.61,0
45.0,7023,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,0.85,2,17,0.0024752475247524753,9.801,0.49019607843137253,0.3063725490196078,0.0,12.0,120000.0,20000.0,1.0,4.0,0.62,0
45.0,7471,0.0,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,2.0,0.85,0,0,0.0024752475247524753,9.780750000000001,0.49019607843137253,0.3063725490196078,12.5,12.0,120000.0,20000.0,3.0,2.0,0.62,0
45.0,5672,0.0,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,2.0,0.85,0,0,0.0024752475247524753,9.777332916666667,0.49009988431682333,0.3063124276980146,12.5,12.0,120000.0,20000.0,2.0,2.0,0.56,0
47.0,7923,0.0,0.13297872340425532,12.5,12.0,120000.0,20000.0,2.0,5.0,0.78,2,41,0.0024752475247524753,9.839166666666666,0.6730769230769231,0.36057692307692313,12.5,12.0,120000.0,20000.0,2.0,5.0,0.55,0
47.0,5673,0.0,0.13297872340425532,25.0,12.0,120000.0,20000.0,3.0,2.0,0.78,3,58,0.0024752475247524753,9.844666666666667,0.6730769230769231,0.36057692307692313,12.5,12.0,120000.0,20000.0,2.0,2.0,0.56,0
45.0,7922,0.0,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,5.0,0.85,3,86,0.0024752475247524753,9.711166666666665,0.8490566037735849,0.3537735849056604,12.5,12.0,120000.0,20000.0,2.0,5.0,0.49,0
48.0,11972,0.20833333333333334,0.1953125,0.0,12.0,120000.0,0.0,0.0,1.0,0.73,3,11,0.0024752475247524753,9.836666666666666,0.8490566037735849,0.3537735849056604,0.0,12.0,120000.0,0.0,0.0,1.0,0.5,0
47.0,7472,0.0,0.13297872340425532,12.5,12.0,120000.0,20000.0,2.0,2.0,0.78,0,0,0.0024752475247524753,9.770832916666667,0.8488962744960811,0.3537067810400338,12.5,12.0,120000.0,20000.0,2.0,2.0,0.43,0
47.0,5225,0.0,0.13297872340425532,12.5,12.0,120000.0,20000.0,2.0,6.0,0.78,3,61,0.0024752475247524753,9.749833333333333,0.9259259259259258,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,6.0,0.43,0
49.0,5226,0.40816326530612246,0.25510204081632654,0.0,12.0,120000.0,20000.0,1.0,6.0,0.69,2,53,0.0024752475247524753,9.833666666666666,0.9259259259259258,0.5208333333333333,0.0,12.0,120000.0,20000.0,1.0,6.0,0.44,0
47.0,7024,0.0,0.13297872340425532,0.0,12.0,120000.0,20000.0,1.0,5.0,0.78,3,23,0.0024752475247524753,9.750833333333334,0.9259259259259258,0.5208333333333333,12.5,12.0,120000.0,20000.0,3.0,4.0,0.45,0
48.0,1354,0.20833333333333334,0.1953125,0.0,8.0,80000.0,0.0,0.0,6.0,0.73,1,93,0.0024752475247524753,9.600999999999999,1.090909090909091,0.5681818181818181,0.0,8.0,80000.0,0.0,0.0,6.0,0.37,0
