time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
40.0,91000,0.0,0.1875,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.010465116279069767,0.35930232558139535,0.0,10.0,18000.0,25000.0,1.0,0.0,0
41.0,91001,0.0,0.18841463414634146,0.0,10.0,18000.0,25000.0,1.0,0.0,3,0.3333333333333333,0.0,0.010465116279069767,0.35930232558139535,0.0,10.0,18000.0,25000.0,1.0,0.0,0
43.0,91003,0.010465116279069767,0.35930232558139535,0.0,10.0,18000.0,25000.0,1.0,0.0,0,0.3333333333333333,0.0,0.010290416123847216,0.35330428691875443,0.0,10.0,18000.0,25000.0,1.0,0.0,0
42.0,91002,0.0,0.18392857142857144,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.010227272727272727,0.36136363636363633,0.0,10.0,18000.0,25000.0,1.0,0.0,0
43.0,109000,0.010465116279069767,0.35930232558139535,0.0,10.0,18000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.01,0.3683333333333333,0.0,10.0,18000.0,0.0,0.0,2.0,0
43.0,136001,0.010465116279069767,0.35930232558139535,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.3358695652173913,0.36032608695652174,0.0,10.0,18000.0,0.0,0.0,0.0,0
42.0,136000,0.0,0.18392857142857144,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,0.0,0.0,0.0,0
44.0,136002,0.010227272727272727,0.36136363636363633,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,0.0,0.0,0.0,0
45.0,136003,0.01,0.3683333333333333,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,0.0,0.0,0.0,0
44.0,91004,0.010227272727272727,0.36136363636363633,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.359375,0.359375,0.0,10.0,18000.0,25000.0,2.0,0.0,0
44.0,109001,0.010227272727272727,0.36136363636363633,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.359375,0.359375,0.0,10.0,18000.0,0.0,0.0,2.0,0
45.0,109002,0.01,0.3683333333333333,0.0,10.0,18000.0,0.0,0.0,2.0,3,0.3333333333333333,0.0,0.359375,0.359375,0.0,10.0,18000.0,0.0,0.0,2.0,0
48.0,91008,0.359375,0.359375,0.0,10.0,18000.0,25000.0,2.0,0.0,0,0.3333333333333333,0.0,0.35399130843601306,0.35399130843601306,0.0,10.0,18000.0,25000.0,1.0,0.0,0
45.0,91005,0.01,0.3683333333333333,0.0,10.0,18000.0,25000.0,1.0,0.0,3,0.3333333333333333,0.0,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,25000.0,1.0,0.0,0
46.0,136004,0.3358695652173913,0.36032608695652174,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,0.0,0.0,0.0,0
47.0,91007,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,25000.0,2.0,0.0,2,0.3333333333333333,0.0,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,25000.0,1.0,0.0,0
46.0,109003,0.3358695652173913,0.36032608695652174,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,0.0,0.0,2.0,0
36.0,52500,0.0,0.0,0.0,30.0,600000.0,25000.0,1.0,5.0,2,0.25,0.0,0.345,0.35400000000000004,12.5,30.0,600000.0,25000.0,2.0,5.0,0
46.0,91006,0.3358695652173913,0.36032608695652174,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.345,0.35400000000000004,0.0,10.0,18000.0,25000.0,1.0,0.0,0
48.0,109005,0.359375,0.359375,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.345,0.35400000000000004,0.0,10.0,18000.0,0.0,0.0,2.0,0
50.0,91010,0.345,0.35400000000000004,0.0,10.0,18000.0,25000.0,1.0,0.0,0,0.3333333333333333,0.0,0.3577763931053828,0.3489059040201254,0.0,10.0,18000.0,25000.0,1.0,0.0,0
47.0,136005,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.3558823529411765,0.3852941176470588,0.0,10.0,18000.0,0.0,0.0,0.0,0
49.0,91009,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,25000.0,1.0,0.0,2,0.3333333333333333,0.0,0.3558823529411765,0.3852941176470588,0.0,10.0,18000.0,25000.0,1.0,0.0,0
49.0,136007,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.3558823529411765,0.3852941176470588,0.0,10.0,18000.0,0.0,0.0,0.0,0
47.0,109004,0.34787234042553195,0.35744680851063826,0.0,10.0,18000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.3490384615384615,0.5307692307692308,0.0,10.0,18000.0,0.0,0.0,2.0,0
49.0,109006,0.3520408163265306,0.3566326530612245,0.0,10.0,18000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.3490384615384615,0.5307692307692308,0.0,10.0,18000.0,0.0,0.0,2.0,0
47.0,9000,0.34787234042553195,0.35744680851063826,0.0,6.0,120000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.3490384615384615,0.5307692307692308,0.0,6.0,120000.0,0.0,0.0,1.0,0
52.0,91012,0.3490384615384615,0.5307692307692308,0.0,10.0,18000.0,25000.0,2.0,0.0,0,0.3333333333333333,0.0,0.34420626887800704,0.5234211030872172,0.0,10.0,18000.0,25000.0,1.0,0.0,0
48.0,136006,0.359375,0.359375,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.3424528301886792,0.525,0.0,10.0,18000.0,0.0,0.0,0.0,0
50.0,109007,0.345,0.35400000000000004,0.0,10.0,18000.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.3424528301886792,0.525,0.0,10.0,18000.0,0.0,0.0,2.0,0
