time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
39.0,7020,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,5.0,3,6,0.022727272727272728,-5.0,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,5.0,1
41.0,7920,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,2,4,0.022727272727272728,-4.859999999999999,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,1
37.0,5220,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,6.0,2,2,0.022727272727272728,0.8116666666666666,0.0,0.0744047619047619,0.0,12.0,120000.0,20000.0,1.0,6.0,0
39.0,5221,0.0,0.08012820512820512,0.0,12.0,120000.0,20000.0,1.0,6.0,1,10,0.022727272727272728,-4.965,0.0,0.0744047619047619,0.0,12.0,120000.0,20000.0,1.0,6.0,1
40.0,1350,0.0,0.078125,0.0,8.0,80000.0,0.0,0.0,6.0,1,1,0.022727272727272728,0.95225,0.0,0.07267441860465117,0.0,8.0,80000.0,0.0,0.0,6.0,0
43.0,4140,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,0.0,3,7,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,0.0,1
43.0,4860,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,6.0,3,7,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,0.0,25.0,400000.0,0.0,0.0,6.0,1
43.0,5223,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,7.0,1,8,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,7.0,1
43.0,5671,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,2.0,1,8,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,12.5,12.0,120000.0,20000.0,2.0,2.0,1
43.0,7022,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,1,8,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,5.0,1
43.0,7470,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,3,7,0.022727272727272728,-4.859999999999999,0.0,0.07267441860465117,0.0,12.0,120000.0,20000.0,1.0,2.0,1
44.0,11970,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,2,3,0.022727272727272728,-4.82,0.0,0.07102272727272728,0.0,12.0,120000.0,0.0,0.0,0.0,1
41.0,7021,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,5.0,1,4,0.022727272727272728,-4.945417083333333,0.0,0.07100657327730668,0.0,12.0,120000.0,20000.0,1.0,5.0,1
42.0,1351,0.0,0.0744047619047619,0.0,8.0,80000.0,0.0,0.0,6.0,3,7,0.022727272727272728,-5.168333958333333,0.07458232221457588,0.06992092707616487,0.0,8.0,80000.0,0.0,0.0,6.0,1
45.0,5672,0.07407407407407407,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,2.0,2,4,0.022727272727272728,-4.8,0.07407407407407407,0.1388888888888889,12.5,12.0,120000.0,20000.0,2.0,2.0,1
45.0,7023,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,3,5,0.022727272727272728,-5.0,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,1
45.0,7471,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,2.0,3,5,0.022727272727272728,-5.0,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,2.0,1
45.0,7922,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,1,6,0.022727272727272728,-4.80025,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,5.0,1
41.0,5222,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,6.0,1,1,0.022727272727272728,-4.966666666666667,0.07407407407407407,0.1388888888888889,0.0,12.0,120000.0,20000.0,1.0,6.0,1
46.0,1353,0.07246376811594203,0.20380434782608695,0.0,8.0,80000.0,0.0,0.0,6.0,1,6,0.022727272727272728,-4.88,0.07246376811594203,0.20380434782608695,0.0,8.0,80000.0,0.0,0.0,6.0,1
46.0,4861,0.07246376811594203,0.20380434782608695,0.0,25.0,400000.0,0.0,0.0,6.0,3,3,0.022727272727272728,-4.9399999999999995,0.07246376811594203,0.20380434782608695,0.0,25.0,400000.0,0.0,0.0,6.0,1
46.0,8821,0.07246376811594203,0.20380434782608695,0.0,12.0,120000.0,0.0,0.0,2.0,2,2,0.022727272727272728,-4.82,0.07246376811594203,0.20380434782608695,0.0,12.0,120000.0,0.0,0.0,2.0,1
46.0,11971,0.07246376811594203,0.20380434782608695,0.0,12.0,120000.0,0.0,0.0,1.0,2,2,0.022727272727272728,-4.82,0.07246376811594203,0.20380434782608695,0.0,12.0,120000.0,0.0,0.0,1.0,1
41.0,5670,0.0,0.07621951219512195,0.0,12.0,120000.0,20000.0,1.0,2.0,0,0,0.022727272727272728,0.87,0.07092198581560284,0.24379432624113476,0.0,12.0,120000.0,20000.0,1.0,2.0,0
